Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,21,MIL,NBA,C,33,13,8.2,0.4,1.1,0.343,0,0,NA,0.4,1.1,0.343,0.343,0.1,0.3,0.273,0.9,1.3,2.2,0.1,0.1,0.9,0.4,1.7,0.8
2001-02,22,MIL,NBA,C,71,62,15.9,1.1,2,0.535,0,0,0,1.1,2,0.539,0.535,0.5,1.3,0.422,1.1,2.9,4,0.3,0.3,1.7,0.6,2.8,2.7
2002-03,23,MIL,NBA,C,32,17,17.1,0.6,1.4,0.391,0,0,NA,0.6,1.4,0.391,0.391,0.4,0.8,0.5,1.5,3,4.5,0.4,0.3,1.4,0.6,2.7,1.5
2003-04,24,TOT,NBA,C,17,12,20.4,1.1,2.9,0.36,0,0,NA,1.1,2.9,0.36,0.36,0.8,1.8,0.419,1.9,4.6,6.5,0.4,0.3,1,1.1,3.1,2.9
2003-04,24,MIL,NBA,C,5,0,6.6,0,0,NA,0,0,NA,0,0,NA,NA,0.2,0.4,0.5,0.2,1.8,2,0.6,0,0,0.4,1,0.2
2003-04,24,ATL,NBA,C,12,12,26.2,1.5,4.2,0.36,0,0,NA,1.5,4.2,0.36,0.36,1,2.4,0.414,2.6,5.8,8.4,0.3,0.4,1.4,1.3,4,4
2004-05,25,POR,NBA,C,76,50,24.4,2.6,4.4,0.598,0,0,NA,2.6,4.4,0.598,0.598,1.2,2.3,0.517,2.3,5.4,7.7,1,0.3,2.1,1.3,3.1,6.4
2005-06,26,POR,NBA,C,56,52,24.9,2.3,4.3,0.548,0,0,NA,2.3,4.3,0.548,0.548,1.5,2.8,0.532,2.6,4.4,7,0.8,0.4,2.3,1.4,2.7,6.1
2006-07,27,POR,NBA,C,43,43,16.3,0.9,1.8,0.474,0,0,NA,0.9,1.8,0.474,0.474,0.2,0.6,0.37,1.4,2.5,3.9,0.3,0.2,1.6,0.9,2.9,2
2007-08,28,POR,NBA,C,77,67,23.6,1.9,3.2,0.576,0,0,0,1.9,3.2,0.578,0.576,1.1,1.6,0.68,2.5,5.9,8.4,0.4,0.2,1.2,1.2,3,4.8
2008-09,29,POR,NBA,C,82,43,23.8,2,3.3,0.625,0,0,0,2,3.3,0.627,0.625,1.4,2.1,0.663,2.5,6.3,8.7,0.3,0.4,1.2,1,2.6,5.5
2009-10,30,POR,NBA,C,30,9,22.7,1.5,2.9,0.523,0,0,NA,1.5,2.9,0.523,0.523,1.1,1.7,0.647,2.4,5.5,7.9,0.3,0.3,1.4,1.3,3.2,4.1
2010-11,31,TOT,NBA,C,36,9,14.4,0.7,1.2,0.568,0,0,NA,0.7,1.2,0.568,0.568,0.4,0.8,0.519,1,3,4,0.4,0.1,0.4,0.8,2.2,1.8
2010-11,31,POR,NBA,C,31,9,14.4,0.7,1.1,0.618,0,0,NA,0.7,1.1,0.618,0.618,0.4,0.7,0.565,0.9,3,3.9,0.4,0.2,0.5,0.7,2,1.8
2010-11,31,CHA,NBA,C,5,0,14.8,0.8,2,0.4,0,0,NA,0.8,2,0.4,0.4,0.2,0.8,0.25,1.8,3,4.8,0,0,0.2,1.4,3.2,1.8
2011-12,32,POR,NBA,C,27,19,16.6,0.8,1.8,0.458,0,0,NA,0.8,1.8,0.458,0.458,0.4,0.7,0.611,1.1,4,5.1,0.2,0.1,0.6,0.8,2.4,2
2012-13,33,MIL,NBA,C,12,1,5.7,0.1,0.3,0.25,0,0,NA,0.1,0.3,0.25,0.25,0,0.2,0,0.4,1.3,1.8,0.3,0.1,0.2,0.3,0.8,0.2
Career,NA,,NBA,,592,397,19.8,1.5,2.7,0.552,0,0,0,1.5,2.7,0.553,0.552,0.8,1.5,0.557,1.9,4.3,6.2,0.4,0.3,1.4,1,2.7,3.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,POR,NBA,,422,292,22,1.8,3.2,0.574,0,0,0,1.8,3.2,0.575,0.574,1,1.7,0.588,2.2,5,7.1,0.5,0.3,1.5,1.1,2.8,4.7
5 seasons,NA,MIL,NBA,,153,93,13.4,0.7,1.5,0.471,0,0,0,0.7,1.5,0.473,0.471,0.4,0.8,0.419,1.1,2.4,3.5,0.3,0.2,1.3,0.5,2.3,1.8
1 season,NA,ATL,NBA,,12,12,26.2,1.5,4.2,0.36,0,0,NA,1.5,4.2,0.36,0.36,1,2.4,0.414,2.6,5.8,8.4,0.3,0.4,1.4,1.3,4,4
1 season,NA,CHA,NBA,,5,0,14.8,0.8,2,0.4,0,0,NA,0.8,2,0.4,0.4,0.2,0.8,0.25,1.8,3,4.8,0,0,0.2,1.4,3.2,1.8
