Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2006-07,23,MIA,NBA,PG,42,408,12.3,0.479,0.435,0.282,1.8,6.8,4.3,25.8,2,0,12.5,19.6,NA,0.3,0.3,0.6,0.07,NA,-0.8,-1.1,-1.9,0
2007-08,24,MIA,NBA,PG,60,1340,13.8,0.559,0.426,0.263,1,9.7,5.3,22.5,1.8,0.2,11.7,16.6,NA,1.9,0.7,2.6,0.092,NA,-0.2,-0.3,-0.5,0.5
2008-09,25,MIA,NBA,PG,66,962,12.9,0.539,0.474,0.201,1,8.4,4.7,21.5,1.3,0.2,9.5,17,NA,1.5,0.6,2.1,0.104,NA,-0.2,-0.8,-1,0.2
2009-10,26,NJN,NBA,PG,25,223,9.3,0.477,0.571,0.107,0.5,8.1,4.1,20.9,2.1,0.3,14.6,14.1,NA,0,0.1,0.1,0.025,NA,-2.6,0.1,-2.5,0
2010-11,27,SAS,NBA,PG,41,292,7.5,0.428,0.407,0.088,1.2,8.5,5,21.1,0.9,0.2,11.3,16.8,NA,-0.1,0.2,0.1,0.024,NA,-3.4,-0.9,-4.3,-0.2
2012-13,29,CLE,NBA,SG,7,78,1.3,0.296,0.313,0.125,1.4,1.6,1.5,16.3,2,0,26.2,13.1,NA,-0.2,0,-0.2,-0.124,NA,-7.2,-1.9,-9.2,-0.1
Career,NA,,NBA,,241,3303,12.2,0.521,0.447,0.219,1.1,8.6,4.8,22.2,1.6,0.2,11.6,16.9,NA,3.3,2,5.3,0.077,NA,-0.9,-0.6,-1.5,0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIA,NBA,,168,2710,13.3,0.538,0.445,0.243,1.1,8.8,4.9,22.7,1.7,0.2,11,17.2,NA,3.6,1.6,5.3,0.093,NA,-0.3,-0.6,-0.9,0.7
1 season,NA,SAS,NBA,,41,292,7.5,0.428,0.407,0.088,1.2,8.5,5,21.1,0.9,0.2,11.3,16.8,NA,-0.1,0.2,0.1,0.024,NA,-3.4,-0.9,-4.3,-0.2
1 season,NA,NJN,NBA,,25,223,9.3,0.477,0.571,0.107,0.5,8.1,4.1,20.9,2.1,0.3,14.6,14.1,NA,0,0.1,0.1,0.025,NA,-2.6,0.1,-2.5,0
1 season,NA,CLE,NBA,,7,78,1.3,0.296,0.313,0.125,1.4,1.6,1.5,16.3,2,0,26.2,13.1,NA,-0.2,0,-0.2,-0.124,NA,-7.2,-1.9,-9.2,-0.1
