Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,22,POR,NBA,PG,80,NA,2431,525,1162,0.452,3,31,0.097,522,1131,0.462,0.453,164,219,0.749,42,153,195,555,88,9,232,201,1217
1981-82,23,POR,NBA,PG,78,68,2418,504,1095,0.46,3,38,0.079,501,1057,0.474,0.462,242,318,0.761,39,147,186,555,97,4,229,169,1253
1982-83,24,DAL,NBA,PG,76,4,1607,343,746,0.46,2,16,0.125,341,730,0.467,0.461,152,199,0.764,44,103,147,280,58,4,129,109,840
1983-84,25,NJN,NBA,PG,80,50,1937,304,700,0.434,7,32,0.219,297,668,0.445,0.439,145,183,0.792,28,99,127,483,91,6,141,182,760
1984-85,26,NJN,NBA,PG,81,29,1689,300,654,0.459,2,11,0.182,298,643,0.463,0.46,122,142,0.859,40,90,130,355,87,7,113,134,724
1985-86,27,NJN,NBA,PG,79,15,1504,231,505,0.457,3,24,0.125,228,481,0.474,0.46,121,148,0.818,34,82,116,252,51,4,114,128,586
Career,NA,,NBA,,474,166,11586,2207,4862,0.454,20,152,0.132,2187,4710,0.464,0.456,946,1209,0.782,227,674,901,2480,472,34,958,923,5380
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,NJN,NBA,,240,94,5130,835,1859,0.449,12,67,0.179,823,1792,0.459,0.452,388,473,0.82,102,271,373,1090,229,17,368,444,2070
2 seasons,NA,POR,NBA,,158,68,4849,1029,2257,0.456,6,69,0.087,1023,2188,0.468,0.457,406,537,0.756,81,300,381,1110,185,13,461,370,2470
1 season,NA,DAL,NBA,,76,4,1607,343,746,0.46,2,16,0.125,341,730,0.467,0.461,152,199,0.764,44,103,147,280,58,4,129,109,840
