Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1995-96,22,DET,NBA,C,75,1305,14,0.603,0.004,0.522,10.6,16.7,13.8,1.6,0.7,7.1,16.5,12.4,NA,1.6,2.2,3.8,0.141,NA,-1.4,2,0.6,0.9
1996-97,23,DET,NBA,C,76,1292,15.9,0.566,0,0.344,10.7,13.9,12.3,1.8,1.3,7.1,12.6,17,NA,1.8,2.1,3.9,0.144,NA,-2,1.2,-0.8,0.4
1997-98,24,TOT,NBA,C,82,2447,16.2,0.561,0,0.471,10.4,15.6,12.9,3.9,1.1,7.9,13.9,15.5,NA,3.4,3.4,6.7,0.132,NA,-0.9,1.8,0.9,1.8
1997-98,24,DET,NBA,C,24,586,13,0.566,0,0.568,9.3,15.3,12.3,4.1,1.1,7.1,19.7,13.7,NA,0.4,0.9,1.4,0.111,NA,-2.5,2.8,0.3,0.3
1997-98,24,PHI,NBA,C,58,1861,17.2,0.56,0,0.449,10.7,15.6,13.2,3.9,1.1,8.1,12.4,16,NA,2.9,2.5,5.4,0.139,NA,-0.4,1.5,1.1,1.4
1998-99,25,PHI,NBA,PF,50,1627,16.9,0.539,0,0.547,9.7,19.6,14.5,3.3,1.5,7.3,15,17.1,NA,2.1,3.3,5.4,0.159,NA,-0.7,2,1.3,1.4
1999-00,26,PHI,NBA,PF,57,1795,16.7,0.568,0,0.481,8.5,18.4,13.4,3.3,0.9,7,15.4,17.2,NA,2.2,3.3,5.6,0.149,NA,-0.8,2,1.2,1.4
2000-01,27,PHI,NBA,C,50,1800,16.3,0.562,0,0.475,8,17.7,13,5.3,0.9,7.6,18.6,17,NA,1.7,3.5,5.2,0.138,NA,-1.1,2.7,1.6,1.6
2001-02,28,ATL,NBA,C,3,82,11.1,0.523,0,0.55,6.9,15.4,11.1,2,0.6,7.2,22,17.6,NA,-0.1,0.1,0,0.012,NA,-3.4,2.2,-1.3,0
2002-03,29,ATL,NBA,C,81,2518,13.8,0.512,0,0.36,7.3,19.7,13.7,4.8,1.2,7.3,16.6,15,NA,0.7,3.4,4,0.077,NA,-2.5,1.8,-0.7,0.8
2003-04,30,TOT,NBA,C,85,2664,14.4,0.521,0,0.395,8.6,17.9,13.3,4.3,1.1,8.6,15.7,13.2,NA,1.8,3.4,5.2,0.094,NA,-2,2.3,0.3,1.5
2003-04,30,ATL,NBA,C,53,1648,12.9,0.5,0,0.394,7.3,18.8,13.1,5.1,1,7.4,16.4,14.5,NA,0.4,1.9,2.3,0.066,NA,-2.5,1.7,-0.8,0.5
2003-04,30,POR,NBA,C,32,1016,16.8,0.566,0,0.398,10.6,16.6,13.6,3.1,1.3,10.4,14.1,11.2,NA,1.4,1.6,3,0.14,NA,-1.2,3.3,2.1,1
2004-05,31,POR,NBA,C,63,1731,10.1,0.5,0,0.416,7.7,14.1,11,2.9,0.7,6.5,15.6,9.6,NA,0.5,1.7,2.3,0.063,NA,-3.5,1.7,-1.8,0.1
2005-06,32,POR,NBA,C,55,1301,12.2,0.599,0,0.439,8.1,17.8,12.9,3.4,0.8,5.2,17.2,9.9,NA,1.3,0.7,2,0.074,NA,-2.2,0.6,-1.6,0.1
2006-07,33,BOS,NBA,C,2,44,6.7,0.525,0,1.333,5.3,13.9,9.5,0,1.2,5.3,17.4,5.9,NA,0,0.1,0.1,0.073,NA,-3.7,0.9,-2.8,0
2007-08,34,TOT,NBA,C-PF,26,437,11.9,0.534,0.012,0.506,8.5,15.6,12,4.7,0.9,6.7,16.8,13.2,NA,0.2,0.6,0.8,0.091,NA,-2.9,1.8,-1.1,0.1
2007-08,34,MIN,NBA,PF,10,214,12.3,0.563,0.022,0.556,6.8,14.5,10.6,4.9,0.7,7.1,17.6,14.3,NA,0.1,0.2,0.3,0.067,NA,-2.8,1.4,-1.5,0
2007-08,34,DET,NBA,C,16,223,11.6,0.501,0,0.45,10.1,16.7,13.4,4.6,1,6.4,15.8,12,NA,0.1,0.4,0.5,0.115,NA,-3,2.3,-0.7,0.1
2008-09,35,PHI,NBA,C,46,579,11.2,0.56,0,0.547,9.4,17.1,13.2,2.2,1.6,6.6,15,7.4,NA,0.5,0.9,1.4,0.115,NA,-2.5,2.1,-0.4,0.2
2009-10,36,TOT,NBA,C,49,807,10.3,0.511,0,0.329,8.9,14.3,11.6,4.7,0.8,6,19.1,12.3,NA,0.1,1.4,1.4,0.084,NA,-3.9,1.8,-2.1,0
2009-10,36,SAS,NBA,C,21,183,7.8,0.45,0,0.111,9.8,15.7,12.8,6.9,0.9,7.1,29.8,13.4,NA,-0.3,0.3,0.1,0.019,NA,-6.6,2.4,-4.1,-0.1
2009-10,36,CHA,NBA,C,28,624,11,0.528,0,0.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12,NA,0.3,1,1.3,0.104,NA,-3.1,1.6,-1.5,0.1
2010-11,37,LAL,NBA,C,10,71,4.4,0.145,0,0.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,NA,-0.1,0.1,0,0,NA,-4.9,1.4,-3.5,0
Career,NA,,NBA,,810,20500,14.3,0.546,0,0.441,8.8,17.1,13,3.7,1,7.2,15.8,14.1,NA,17.6,30.3,47.9,0.112,NA,-1.9,1.9,0,10.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,PHI,NBA,,261,7662,16.3,0.558,0,0.488,9.3,17.7,13.5,3.8,1.1,7.4,15.3,16.1,NA,9.4,13.5,22.9,0.144,NA,-0.9,2,1.1,6.1
4 seasons,NA,DET,NBA,,191,3406,14.4,0.574,0.001,0.442,10.4,15.4,12.9,2.3,1,7,15.3,14.3,NA,3.9,5.7,9.6,0.135,NA,-1.9,1.8,-0.1,1.7
3 seasons,NA,POR,NBA,,150,4048,12.5,0.549,0,0.418,8.6,15.9,12.3,3.1,0.9,7,15.7,10.1,NA,3.2,4,7.2,0.086,NA,-2.5,1.7,-0.8,1.3
3 seasons,NA,ATL,NBA,,137,4248,13.4,0.508,0,0.377,7.3,19.3,13.4,4.8,1.1,7.4,16.6,14.9,NA,1,5.3,6.3,0.071,NA,-2.5,1.8,-0.8,1.3
1 season,NA,CHA,NBA,,28,624,11,0.528,0,0.397,8.7,13.9,11.3,4.1,0.8,5.7,15.5,12,NA,0.3,1,1.3,0.104,NA,-3.1,1.6,-1.5,0.1
1 season,NA,SAS,NBA,,21,183,7.8,0.45,0,0.111,9.8,15.7,12.8,6.9,0.9,7.1,29.8,13.4,NA,-0.3,0.3,0.1,0.019,NA,-6.6,2.4,-4.1,-0.1
1 season,NA,LAL,NBA,,10,71,4.4,0.145,0,0.333,9.9,10.8,10.4,5.5,1.5,5.4,30.4,6.3,NA,-0.1,0.1,0,0,NA,-4.9,1.4,-3.5,0
1 season,NA,MIN,NBA,,10,214,12.3,0.563,0.022,0.556,6.8,14.5,10.6,4.9,0.7,7.1,17.6,14.3,NA,0.1,0.2,0.3,0.067,NA,-2.8,1.4,-1.5,0
1 season,NA,BOS,NBA,,2,44,6.7,0.525,0,1.333,5.3,13.9,9.5,0,1.2,5.3,17.4,5.9,NA,0,0.1,0.1,0.073,NA,-3.7,0.9,-2.8,0
