Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000-01,20,LAC,NBA,SG,76,1358,16.5,0.516,0.288,0.301,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,NA,2.1,1,3,0.106,NA,2,-1.1,0.8,0.9
2001-02,21,LAC,NBA,SG,81,2152,17.4,0.534,0.377,0.202,6,11.5,8.8,10.5,1.9,0.7,9.2,23.3,NA,4,1.6,5.6,0.125,NA,2.7,-0.5,2.2,2.3
2002-03,22,LAC,NBA,SG,59,1368,12.5,0.46,0.363,0.227,8.2,15.1,11.6,6.7,1.3,0.5,9.6,22,NA,0.3,0.7,1,0.036,NA,-0.1,-2.2,-2.3,-0.1
2003-04,23,LAC,NBA,SG,65,2338,15.1,0.484,0.319,0.191,7.1,13.2,10.1,11.2,1.5,0.6,10.9,24.6,NA,2,0.4,2.4,0.05,NA,1.7,-2.5,-0.8,0.7
2004-05,24,PHO,NBA,SG,79,2839,13.6,0.522,0.604,0.176,3.6,13.9,9,7.9,1.7,0.6,8.3,18.9,NA,3.3,2.5,5.8,0.098,NA,0.7,-0.2,0.5,1.8
2005-06,25,NYK,NBA,SF,55,1442,9.6,0.452,0.41,0.198,5.4,14.1,9.7,10.3,1.4,0.3,10.1,17.4,NA,0.2,0.5,0.7,0.023,NA,-0.8,-1.1,-1.9,0
2006-07,26,NYK,NBA,SF,49,1621,14.3,0.532,0.473,0.22,4.8,20.8,12.9,11.4,1.2,0.3,10.5,18.7,NA,2.2,1.3,3.5,0.104,NA,1.3,-0.6,0.7,1.1
2007-08,27,NYK,NBA,SF,65,1841,8.5,0.444,0.386,0.159,3.4,16.5,9.7,9.9,1.3,0.6,10.4,16.1,NA,-0.6,0.9,0.3,0.008,NA,-2.3,-0.5,-2.8,-0.4
2008-09,28,NYK,NBA,SG,72,1894,11.6,0.51,0.493,0.175,4,14.8,9.2,9.4,1.2,0.3,9.3,18.2,NA,1,1.1,2.1,0.054,NA,-0.4,-0.8,-1.2,0.4
2009-10,29,MIA,NBA,SF,76,2082,12.9,0.572,0.638,0.127,3.6,17.4,10.6,7,1.8,0.7,9.5,14.8,NA,2.7,3.1,5.8,0.133,NA,0.4,0.8,1.3,1.7
2010-11,30,ORL,NBA,SF,57,955,8.1,0.454,0.573,0.173,4.9,16.6,10.9,6.1,1.4,0.4,10.7,14.9,NA,-0.2,1.5,1.3,0.067,NA,-2.4,0.9,-1.5,0.1
2011-12,31,ORL,NBA,SF,48,866,8.7,0.511,0.614,0.152,2,14.6,8.2,7,1.7,0.5,12.1,13,NA,0.4,0.9,1.3,0.07,NA,-2.5,1,-1.6,0.1
2012-13,32,NYK,NBA,SF,1,29,0.7,0.21,0.364,0.182,19.5,20.9,20.2,4.8,0,0,14.4,22.4,NA,-0.1,0,-0.1,-0.181,NA,-7.9,-7.1,-14.9,-0.1
Career,NA,,NBA,,783,20785,12.9,0.503,0.447,0.193,5.2,14.9,10.1,9,1.5,0.5,9.8,19.2,NA,17.3,15.5,32.8,0.076,NA,0.3,-0.7,-0.4,8.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,LAC,NBA,,281,7216,15.5,0.5,0.339,0.22,7.3,12.9,10.1,9.6,1.6,0.6,9.9,23.3,NA,8.5,3.6,12.1,0.08,NA,1.7,-1.6,0.1,3.8
5 seasons,NA,NYK,NBA,,242,6827,10.9,0.486,0.444,0.187,4.4,16.6,10.4,10.2,1.3,0.4,10.1,17.6,NA,2.7,3.9,6.5,0.046,NA,-0.6,-0.8,-1.4,1
2 seasons,NA,ORL,NBA,,105,1821,8.4,0.479,0.591,0.164,3.5,15.6,9.6,6.5,1.6,0.5,11.3,14,NA,0.2,2.4,2.6,0.068,NA,-2.5,0.9,-1.5,0.2
1 season,NA,PHO,NBA,,79,2839,13.6,0.522,0.604,0.176,3.6,13.9,9,7.9,1.7,0.6,8.3,18.9,NA,3.3,2.5,5.8,0.098,NA,0.7,-0.2,0.5,1.8
1 season,NA,MIA,NBA,,76,2082,12.9,0.572,0.638,0.127,3.6,17.4,10.6,7,1.8,0.7,9.5,14.8,NA,2.7,3.1,5.8,0.133,NA,0.4,0.8,1.3,1.7
