Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1993-94,23,HOU,NBA,C,47,2,219,7.8,16.2,0.486,0,0.2,0,7.8,15.9,0.493,4.6,8.5,0.541,5.5,8.1,13.6,2.1,1.2,2.1,3.5,6.9,20.3,NA,101,101
1994-95,24,LAC,NBA,C,40,4,434,7.6,17,0.448,0,0.1,0,7.6,16.9,0.451,5.5,7.5,0.734,5.3,7.9,13.1,1.3,2,4.1,3.6,9.1,20.8,NA,100,107
1995-96,25,MIN,NBA,C,25,10,310,5.8,12.3,0.473,0,0.2,0,5.8,12.1,0.479,3.6,4.6,0.786,5.3,7.3,12.6,0.8,1.3,2.6,2.8,7,15.2,NA,105,108
1997-98,27,DAL,NBA,C,39,14,544,5.5,13.2,0.415,0,0.1,0,5.5,13.1,0.418,2.6,3.5,0.75,4.2,8.8,13,2.2,1.5,4.5,3.6,7.8,13.6,NA,90,103
1998-99,28,BOS,NBA,C,35,11,337,4.4,8.4,0.519,0,0,NA,4.4,8.4,0.519,3.4,4.8,0.71,5.6,9.8,15.4,2,1.4,4,4,11.4,12.1,NA,100,98
Career,NA,,NBA,,186,41,1844,6.1,13.5,0.456,0,0.1,0,6.1,13.3,0.46,3.9,5.5,0.704,5.1,8.4,13.5,1.7,1.5,3.7,3.5,8.5,16.2,NA,98,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HOU,NBA,,47,2,219,7.8,16.2,0.486,0,0.2,0,7.8,15.9,0.493,4.6,8.5,0.541,5.5,8.1,13.6,2.1,1.2,2.1,3.5,6.9,20.3,NA,101,101
1 season,NA,LAC,NBA,,40,4,434,7.6,17,0.448,0,0.1,0,7.6,16.9,0.451,5.5,7.5,0.734,5.3,7.9,13.1,1.3,2,4.1,3.6,9.1,20.8,NA,100,107
1 season,NA,DAL,NBA,,39,14,544,5.5,13.2,0.415,0,0.1,0,5.5,13.1,0.418,2.6,3.5,0.75,4.2,8.8,13,2.2,1.5,4.5,3.6,7.8,13.6,NA,90,103
1 season,NA,BOS,NBA,,35,11,337,4.4,8.4,0.519,0,0,NA,4.4,8.4,0.519,3.4,4.8,0.71,5.6,9.8,15.4,2,1.4,4,4,11.4,12.1,NA,100,98
1 season,NA,MIN,NBA,,25,10,310,5.8,12.3,0.473,0,0.2,0,5.8,12.1,0.479,3.6,4.6,0.786,5.3,7.3,12.6,0.8,1.3,2.6,2.8,7,15.2,NA,105,108
