,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2014-15,22,LAC,NBA,PG,14,250,.438,13.2,.667,.276,.248,.029,.114,.333,.471,.655,.269,.333,.500,.371,.242,.010,1,.846,.200,.286,0,0
2015-16,23,LAC,NBA,SG,6,144,.426,12.0,.721,.246,.328,.115,.033,.279,.500,.800,.400,.286,.000,.235,.182,.033,2,.500,.059,.000,0,0
2016-17,24,LAC,NBA,SG,3,90,.346,15.5,.500,.231,.154,.038,.077,.500,.385,.500,.250,.000,.500,.308,.200,.038,1,.750,.154,.500,0,0
2018-19,26,HOU,NBA,SG,10,215,.435,16.6,.435,.177,.210,.032,.016,.565,.407,.455,.462,.000,.000,.457,.455,.016,1,.688,.143,.600,0,0
Career,,,NBA,,33,699,.425,14.0,.606,.240,.248,.051,.067,.394,.461,.639,.349,.231,.412,.370,.254,.020,5,.730,.150,.400,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,23,484,.422,13.1,.661,.260,.260,.057,.083,.339,.472,.680,.320,.273,.438,.323,.217,.021,4,.762,.154,.300,0,0
1 season,,HOU,NBA,,10,215,.435,16.6,.435,.177,.210,.032,.016,.565,.407,.455,.462,.000,.000,.457,.455,.016,1,.688,.143,.600,0,0
