Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,NOB,ABA,C,17,NA,621,6.7,14.6,0.456,0,0.3,0,6.7,14.3,0.467,3.8,5.4,0.71,NA,NA,13.6,1.6,NA,NA,2.3,2.6,17.2
1968-69,24,NOB,ABA,C,11,NA,410,6.2,12.8,0.486,0.2,0.4,0.4,6.1,12.4,0.489,3.6,4.7,0.774,NA,NA,15.4,1.5,NA,NA,1.8,2.8,16.2
1970-71,26,UTS,ABA,PF,18,NA,566,6,10.8,0.553,0.3,0.7,0.455,5.7,10.1,0.56,1.8,2.6,0.707,3.1,8.5,11.6,2.5,NA,NA,1.5,2.8,14.1
1971-72,27,UTS,ABA,PF,9,NA,227,3.2,8.9,0.357,0,1,0,3.2,7.9,0.4,2.1,2.5,0.813,NA,NA,9.7,2.2,NA,NA,0.8,1.9,8.4
1972-73,28,SDA,ABA,C,4,NA,147,4.7,13.5,0.345,0.5,1,0.5,4.2,12.5,0.333,5.9,6.6,0.889,4.2,6.6,10.8,1.2,NA,NA,2.4,3.9,15.7
1973-74,29,KEN,ABA,C,8,NA,108,5.3,9,0.593,0,0,NA,5.3,9,0.593,4.3,4.7,0.929,1.7,9,10.7,1.7,1.3,1.7,3,2,15
Career,NA,,ABA,,67,NA,2079,5.8,12.2,0.475,0.2,0.6,0.281,5.6,11.7,0.484,3.2,4.2,0.762,3.1,8.2,12.6,1.9,1.3,1.7,1.9,2.7,15
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOB,ABA,,28,NA,1031,6.5,13.9,0.467,0.1,0.4,0.182,6.4,13.5,0.475,3.7,5.1,0.733,NA,NA,14.3,1.6,NA,NA,2.1,2.7,16.8
2 seasons,NA,UTS,ABA,,27,NA,793,5.2,10.3,0.504,0.2,0.8,0.294,4.9,9.5,0.522,1.9,2.6,0.737,3.1,8.5,11.1,2.5,NA,NA,1.3,2.5,12.5
1 season,NA,KEN,ABA,,8,NA,108,5.3,9,0.593,0,0,NA,5.3,9,0.593,4.3,4.7,0.929,1.7,9,10.7,1.7,1.3,1.7,3,2,15
1 season,NA,SDA,ABA,,4,NA,147,4.7,13.5,0.345,0.5,1,0.5,4.2,12.5,0.333,5.9,6.6,0.889,4.2,6.6,10.8,1.2,NA,NA,2.4,3.9,15.7
