Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Oscar Robertson,,20.6,17.4,17,16.9,16.8,15.6,13.2,12.9,12.4,12.3,11.4,8.4,8.3,5.9
Chris Paul,88.7,18.3,17.8,16.1,13.9,13.9,12.7,12.7,12.2,10.6,10.4,10.2,8.8,7.3,6.6
Jerry West,85.5,17.1,16.7,15.2,14,13.3,12.9,12.8,11.7,10.8,10.6,9.6,8.1,6.6,3.2
Magic Johnson,83.4,16.5,16.1,15.9,15.4,12.9,12.7,12.5,12.1,10.9,10.5,10.2,6.4,3.6,NA
John Stockton,82.2,15.6,14.4,14.1,14,13.9,13.6,13.4,13.2,13,10.6,8,6.7,5.9,3.1
Michael Jordan,79.2,21.2,20.4,20.3,19.8,19,18.3,17.7,17.2,16.9,15.8,14,3.3,2.3,1.5
Kobe Bryant,75.7,15.3,14.9,13.8,13,12.7,12.7,11.3,10.7,10.6,9.4,8.1,6.3,5.2,1.8
Reggie Miller,69.4,12.5,12.3,12.1,12,11.7,11.4,11.3,11,10.3,10.3,10.1,6.5,6.4,4.2
Gary Payton,67.2,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,3.9,3.4
James Harden,67.1,16.4,15.4,15.2,15,13.3,12.8,12.8,9.3,7.1,4.5,NA,NA,NA,NA
Clyde Drexler,63.2,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.7,6.7,6,2.4
