,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1978-79,23,TOT,NBA,,13,,,,,,11,13,,,,,,,,,28,
1978-79,23,IND,NBA,,9,,,,,,11,13,,,,,,,,,28,
1978-79,23,BOS,NBA,,13,,,,,,9,11,,,,,,,,,27,
1979-80,24,BOS,NBA,,11,,0,,,,10,12,,,,,,,,,27,
1980-81,25,BOS,NBA,,11,,0,,,,7,11,,,,,,,,,24,
1981-82,26,BOS,NBA,,8,,0,,,,5,8,,,,,,,,,17,
1982-83,27,BOS,NBA,,8,14,0,,8,,5,6,,,15,5,,,,,18,
1983-84,28,PHO,NBA,,9,11,1,1,8,11,6,8,5,6,8,7,2,2,4,5,20,24.2
1984-85,29,PHO,NBA,,1,4,0,0,1,4,1,2,2,2,3,2,2,0,3,3,3,1.6
1985-86,30,PHO,NBA,,6,10,0,1,6,10,4,6,4,7,8,4,3,2,3,6,12,9.5
Career,,,,,13,,,,,,11,13,,,,,,,,,28,
5 Seasons,,BOS,NBA,,13,,,,,,10,12,,,,,,,,,27,
3 Seasons,,PHO,NBA,,9,11,1,1,8,11,6,8,5,7,8,7,3,2,4,6,20,24.2
1 Season,,IND,NBA,,9,,,,,,11,13,,,,,,,,,28,
