,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2018-19,21,LAC,NBA,SG,33,320,.400,18.3,.482,.145,.118,.118,.100,.518,.491,.688,.231,.615,.364,.316,.577,.009,1,.889,.158,.444,2,0
2019-20,22,TOT,NBA,SG,55,748,.347,17.4,.519,.125,.134,.120,.139,.481,.393,.630,.207,.500,.267,.298,.455,.028,3,.903,.308,.250,0,0
2019-20,22,LAC,NBA,SG,42,476,.338,17.4,.507,.140,.125,.118,.125,.493,.391,.632,.176,.500,.235,.284,.407,.022,2,.895,.269,.111,0,0
2019-20,22,WAS,NBA,SG,13,272,.363,17.4,.538,.100,.150,.125,.163,.463,.395,.625,.250,.500,.308,.324,.529,.038,1,.917,.378,.429,0,0
Career,,,NBA,,88,1068,.365,17.7,.506,.132,.129,.120,.126,.494,.424,.651,.214,.538,.293,.304,.500,.021,4,.898,.255,.293,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,75,796,.366,17.8,.496,.142,.122,.118,.114,.504,.434,.657,.200,.552,.286,.298,.491,.016,3,.892,.218,.222,2,0
1 season,,WAS,NBA,,13,272,.363,17.4,.538,.100,.150,.125,.163,.463,.395,.625,.250,.500,.308,.324,.529,.038,1,.917,.378,.429,0,0
