Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Larry Robinson,,1.1,0,0,0,0,-0.1,-0.1
Michael Young,72.5,1.1,0,0,NA,NA,NA,NA
Chris King,69.3,1.1,0,-0.1,NA,NA,NA,NA
Dwayne Jones,63.2,1.2,0.1,0.1,0,0,NA,NA
Jackie Butler,60.4,1.2,0.1,0.1,NA,NA,NA,NA
Ivano Newbill,60.2,1.1,0.1,-0.1,NA,NA,NA,NA
Damjan Rudež,60.0,1.3,0.1,0.1,NA,NA,NA,NA
Scott English,56.4,1,0,-0.2,NA,NA,NA,NA
Kenny Dennard,56.3,1.1,0.3,0.1,NA,NA,NA,NA
David Thirdkill,54.2,1,0.3,0,0,-0.1,NA,NA
Damian Jones,51.6,1.5,0.1,0,NA,NA,NA,NA
