Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1990-91,24,ATL,NBA,PG,47,16,674,7.8,17.5,0.446,0.1,0.8,0.182,7.7,16.7,0.459,3.4,5.8,0.588,1.4,3.7,5.1,9.5,2.3,0.6,5.5,4.7,19.1,NA,94,111
1991-92,25,ATL,NBA,PG,81,64,2220,9.3,20.5,0.456,0.8,2.3,0.327,8.6,18.2,0.472,3.9,6.1,0.636,1.4,3.4,4.8,9.9,2.3,0.5,4.6,3.9,23.3,NA,102,110
1992-93,26,NJN,NBA,PG,80,28,1585,8.5,20.1,0.423,0.6,1.8,0.357,7.9,18.4,0.43,3.5,6.1,0.574,1.5,3.5,5,10.2,3,0.4,4.4,5.3,21.2,NA,98,105
1993-94,27,TOT,NBA,PG,31,0,396,6.9,19.2,0.362,1,2.5,0.4,5.9,16.7,0.356,1.6,3.7,0.448,0.8,3.3,4,8,2.3,0.4,5.4,6.1,16.5,NA,80,108
1993-94,27,NJN,NBA,PG,17,0,301,7,19.9,0.353,1.2,2.5,0.467,5.8,17.4,0.337,1.7,3.3,0.5,0.7,3.3,4,7.5,2.5,0.5,4.2,5.5,16.9,NA,84,106
1993-94,27,CHH,NBA,PG,14,0,95,6.7,17.1,0.394,0.5,2.6,0.2,6.2,14.5,0.429,1.6,4.7,0.333,1,3.1,4.1,9.3,1.6,0,9.3,7.8,15.5,NA,69,112
1995-96,29,POR,NBA,PG,43,14,715,6.7,16,0.416,2.2,5.7,0.38,4.5,10.3,0.437,2.4,3.7,0.647,1.4,4.3,5.7,10.3,1.9,0.4,5.2,5.7,17.9,NA,100,105
1996-97,30,TOT,NBA,PG,54,3,508,6.8,17,0.402,1.9,5.8,0.321,5,11.2,0.444,2.7,3.6,0.743,0.6,4.2,4.9,7.5,2.5,0.2,4.4,6.2,18.2,NA,96,105
1996-97,30,LAL,NBA,PG,15,3,126,7.1,20.1,0.354,2.5,9.6,0.261,4.6,10.4,0.44,2.1,3.3,0.625,0.8,3.3,4.2,5.4,2.1,0.8,4.6,5,18.8,NA,86,106
1996-97,30,PHO,NBA,PG,12,0,87,9.5,20.1,0.471,1.8,5.9,0.3,7.7,14.2,0.542,0.6,2.4,0.25,0.6,3.6,4.1,4.7,0.6,0,3,4.7,21.3,NA,96,114
1996-97,30,POR,NBA,PG,27,0,295,5.9,14.7,0.402,1.6,4.1,0.391,4.3,10.6,0.407,3.6,4.1,0.87,0.5,4.8,5.4,9.3,3.2,0,4.8,7.2,17,NA,101,102
Career,NA,,NBA,,336,125,6098,8.3,19.2,0.432,0.9,2.7,0.344,7.4,16.5,0.447,3.3,5.4,0.611,1.3,3.6,5,9.6,2.5,0.4,4.7,4.9,20.8,NA,98,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ATL,NBA,,128,80,2894,9,19.8,0.454,0.6,1.9,0.313,8.4,17.9,0.469,3.8,6,0.625,1.4,3.5,4.9,9.8,2.3,0.5,4.8,4.1,22.3,NA,100,110
2 seasons,NA,NJN,NBA,,97,28,1886,8.3,20.1,0.412,0.7,1.9,0.38,7.6,18.2,0.415,3.2,5.7,0.567,1.4,3.4,4.9,9.8,2.9,0.4,4.4,5.4,20.5,NA,96,106
2 seasons,NA,POR,NBA,,70,14,1010,6.4,15.6,0.413,2,5.3,0.382,4.4,10.4,0.428,2.7,3.8,0.716,1.1,4.4,5.6,10,2.3,0.3,5.1,6.1,17.6,NA,100,105
1 season,NA,LAL,NBA,,15,3,126,7.1,20.1,0.354,2.5,9.6,0.261,4.6,10.4,0.44,2.1,3.3,0.625,0.8,3.3,4.2,5.4,2.1,0.8,4.6,5,18.8,NA,86,106
1 season,NA,CHH,NBA,,14,0,95,6.7,17.1,0.394,0.5,2.6,0.2,6.2,14.5,0.429,1.6,4.7,0.333,1,3.1,4.1,9.3,1.6,0,9.3,7.8,15.5,NA,69,112
1 season,NA,PHO,NBA,,12,0,87,9.5,20.1,0.471,1.8,5.9,0.3,7.7,14.2,0.542,0.6,2.4,0.25,0.6,3.6,4.1,4.7,0.6,0,3,4.7,21.3,NA,96,114
