Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,BOS,NBA,PG,78,25,1831,3.7,8.8,0.418,0.1,0.6,0.207,3.6,8.3,0.432,2.3,3.6,0.647,1.5,4.3,5.7,5.8,2.5,0.2,2.7,3.6,9.9
2007-08,21,BOS,NBA,PG,77,77,2306,5.5,11.1,0.492,0.1,0.3,0.263,5.4,10.8,0.499,1.7,2.7,0.611,1.2,3.8,5,6.1,2,0.2,2.3,2.9,12.7
2008-09,22,BOS,NBA,PG,80,80,2642,5.2,10.3,0.505,0.2,0.7,0.313,5,9.7,0.518,2.3,3.7,0.642,1.4,4.3,5.7,9,2,0.1,2.8,2.6,13
2009-10,23,BOS,NBA,PG,81,81,2963,5.6,11,0.508,0.2,1,0.213,5.4,10,0.536,2.1,3.4,0.621,1.2,3.2,4.4,9.6,2.3,0.1,3,2.4,13.5
2010-11,24,BOS,NBA,PG,68,68,2527,4.5,9.5,0.475,0.1,0.6,0.233,4.4,8.9,0.491,1.1,1.9,0.568,1.2,3,4.2,10.8,2.2,0.2,3.3,1.7,10.3
2011-12,25,BOS,NBA,PG,53,53,1957,4.7,10.5,0.448,0.2,0.8,0.238,4.5,9.7,0.464,2,3.3,0.597,1.1,3.6,4.7,11.4,1.7,0.1,3.6,1.8,11.6
2012-13,26,BOS,NBA,PG,38,38,1423,5.7,11.8,0.484,0.3,1.3,0.24,5.4,10.5,0.513,1.5,2.4,0.645,1.1,4.3,5.4,10.6,1.8,0.2,3.7,2.4,13.2
2013-14,27,BOS,NBA,PG,30,30,998,5.1,12.6,0.403,0.9,3.2,0.289,4.1,9.4,0.442,1.5,2.4,0.627,0.8,5.1,5.9,10.6,1.4,0.1,3.6,2.3,12.6
2014-15,28,TOT,NBA,PG,68,68,2018,4.9,11.5,0.426,0.5,1.5,0.314,4.4,10,0.444,0.6,1.4,0.397,1.3,5.4,6.7,9.6,1.6,0.1,3.7,2.7,10.8
2014-15,28,BOS,NBA,PG,22,22,699,4.2,10.3,0.405,0.4,1.6,0.25,3.8,8.7,0.435,0.6,1.9,0.333,1.3,7.2,8.5,12.2,1.9,0.2,3.9,2.2,9.4
2014-15,28,DAL,NBA,PG,46,46,1319,5.3,12.1,0.436,0.5,1.5,0.352,4.8,10.7,0.448,0.5,1.1,0.452,1.3,4.4,5.7,8.2,1.5,0.1,3.7,3,11.6
2015-16,29,SAC,NBA,PG,72,72,2537,5,11.1,0.454,0.9,2.4,0.365,4.2,8.7,0.479,1.2,2.1,0.58,1.1,5.1,6.2,11.9,2,0.1,3.9,2.5,12.2
2016-17,30,CHI,NBA,PG,69,42,1843,4.5,11,0.408,1,2.6,0.376,3.5,8.4,0.418,0.6,1,0.6,1.4,5.5,6.9,9,1.9,0.2,3.3,2.8,10.5
2017-18,31,NOP,NBA,PG,65,63,1705,4.9,10.4,0.468,1.1,3.2,0.333,3.8,7.3,0.526,0.5,1,0.543,0.7,4.9,5.6,11.3,1.5,0.2,3.2,2.5,11.3
2018-19,32,LAL,NBA,PG,46,29,1369,4.6,11.4,0.405,1.3,3.7,0.359,3.3,7.6,0.428,0.6,0.9,0.639,0.9,5.5,6.4,9.7,1.5,0.2,3.3,2.6,11.1
2019-20,33,LAL,NBA,PG,48,3,984,5,12,0.418,1.5,4.6,0.328,3.5,7.4,0.473,1,1.5,0.659,0.8,4.4,5.2,8.8,1.5,0.1,3.3,2.1,12.5
Career,NA,,NBA,,873,729,27103,4.9,10.8,0.458,0.5,1.6,0.316,4.4,9.2,0.483,1.4,2.4,0.606,1.2,4.3,5.5,9.6,1.9,0.2,3.2,2.5,11.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,BOS,NBA,,527,474,17346,5,10.5,0.473,0.2,0.9,0.252,4.8,9.7,0.493,1.8,2.9,0.614,1.2,3.9,5.2,9.3,2.1,0.1,3.1,2.5,12
2 seasons,NA,LAL,NBA,,94,32,2353,4.8,11.6,0.411,1.4,4.1,0.345,3.4,7.5,0.446,0.8,1.2,0.649,0.9,5,5.9,9.3,1.5,0.1,3.3,2.4,11.7
1 season,NA,SAC,NBA,,72,72,2537,5,11.1,0.454,0.9,2.4,0.365,4.2,8.7,0.479,1.2,2.1,0.58,1.1,5.1,6.2,11.9,2,0.1,3.9,2.5,12.2
1 season,NA,CHI,NBA,,69,42,1843,4.5,11,0.408,1,2.6,0.376,3.5,8.4,0.418,0.6,1,0.6,1.4,5.5,6.9,9,1.9,0.2,3.3,2.8,10.5
1 season,NA,NOP,NBA,,65,63,1705,4.9,10.4,0.468,1.1,3.2,0.333,3.8,7.3,0.526,0.5,1,0.543,0.7,4.9,5.6,11.3,1.5,0.2,3.2,2.5,11.3
1 season,NA,DAL,NBA,,46,46,1319,5.3,12.1,0.436,0.5,1.5,0.352,4.8,10.7,0.448,0.5,1.1,0.452,1.3,4.4,5.7,8.2,1.5,0.1,3.7,3,11.6
