Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,CHH,NBA,PF,54,1,9.7,1.1,2.4,0.477,0,0,0,1.1,2.3,0.484,0.477,0.7,1.1,0.613,1.3,1.7,3,0.6,0.5,0.3,0.8,2.1,3
1997-98,23,SAS,NBA,PF,53,0,8.1,1.1,2.6,0.434,0,0.1,0.333,1.1,2.5,0.436,0.438,0.7,1.2,0.639,0.8,0.9,1.7,0.4,0.4,0.1,0.8,1.5,3
1998-99,24,SAS,NBA,PF,47,0,12.9,2,4.3,0.463,0,0,0,2,4.3,0.465,0.463,2.1,3.1,0.671,1.9,2,3.9,0.6,0.9,0.5,1.2,2.6,6
1999-00,25,SAS,NBA,PF,74,3,18.1,2.4,5.2,0.457,0,0,0.333,2.4,5.2,0.458,0.458,1.9,2.7,0.722,1.8,2.7,4.5,0.6,0.5,0.7,1.3,3.1,6.7
2000-01,26,SAS,NBA,PF,57,9,21.4,2.8,6.5,0.435,0.1,0.3,0.176,2.8,6.2,0.447,0.439,2,2.8,0.713,1.7,3.7,5.4,0.8,1,0.7,1.3,2.6,7.7
2001-02,27,SAS,NBA,PF,82,1,21,3.6,7.7,0.463,0,0.1,0.083,3.6,7.6,0.47,0.464,2.3,3.1,0.72,2.1,3.9,6,0.7,0.9,0.5,1.7,2.5,9.4
2002-03,28,SAS,NBA,PF,79,13,24.5,3.7,8,0.459,0,0.1,0.4,3.6,7.9,0.459,0.46,3.1,3.9,0.791,1.9,4.5,6.4,1.6,0.7,0.5,2.2,2.6,10.4
2003-04,29,SAS,NBA,PF,67,13,18.7,2.6,6,0.428,0,0,0,2.6,6,0.431,0.428,2.7,3.4,0.813,1.6,3.1,4.8,1,0.5,0.4,1.7,2.4,7.9
2004-05,30,TOT,NBA,PF,76,5,19.4,2.6,5.8,0.449,0,0.1,0.1,2.6,5.7,0.457,0.45,1.8,2.4,0.737,1.7,2.8,4.5,0.8,0.6,0.2,1.3,2.7,7
2004-05,30,SAS,NBA,PF,50,1,17.2,2.5,5.3,0.464,0,0.1,0,2.5,5.3,0.471,0.464,1.4,2,0.697,1.9,2.6,4.5,0.8,0.6,0.2,1.1,2.5,6.3
2004-05,30,NYK,NBA,PF,26,4,23.6,2.8,6.7,0.425,0,0.2,0.167,2.8,6.5,0.435,0.428,2.6,3.3,0.782,1.3,3.1,4.4,0.7,0.6,0.3,1.8,3.2,8.3
2005-06,31,NYK,NBA,PF,72,35,15.5,1.5,3.9,0.374,0,0,1,1.4,3.9,0.371,0.375,1.5,1.9,0.781,1.2,2.4,3.6,0.9,0.6,0.2,1.1,2,4.4
2006-07,32,NYK,NBA,PF,65,2,12.5,1.1,2.9,0.398,0,0.1,0.25,1.1,2.7,0.404,0.403,0.6,0.8,0.808,0.7,2,2.7,1,0.4,0.1,1,1.8,3
2007-08,33,NYK,NBA,PF,49,3,10.1,1.3,3.7,0.367,0,0.1,0.286,1.3,3.5,0.37,0.372,0.8,1,0.725,0.6,1.5,2.1,0.6,0.3,0.1,0.8,1.6,3.5
2008-09,34,TOT,NBA,PF,38,0,12.4,1.2,3.4,0.344,0,0.2,0,1.2,3.3,0.363,0.344,1.1,1.3,0.784,0.4,2.1,2.5,0.9,0.3,0.1,0.9,1.9,3.4
2008-09,34,NYK,NBA,PF,18,0,8.9,0.6,2.3,0.268,0,0.2,0,0.6,2.1,0.297,0.268,0.4,0.6,0.727,0.2,1.5,1.7,0.6,0.1,0.1,0.9,1.3,1.7
2008-09,34,OKC,NBA,PF,20,0,15.5,1.7,4.5,0.378,0,0.2,0,1.7,4.4,0.391,0.378,1.6,2,0.8,0.7,2.6,3.3,1.3,0.5,0.1,1,2.4,5
Career,NA,,NBA,,813,85,16.5,2.2,5,0.437,0,0.1,0.177,2.2,5,0.442,0.438,1.7,2.3,0.743,1.4,2.7,4.1,0.8,0.6,0.4,1.3,2.3,6.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,SAS,NBA,,509,40,18.4,2.7,5.9,0.452,0,0.1,0.167,2.7,5.8,0.457,0.453,2.1,2.9,0.739,1.7,3.1,4.8,0.9,0.7,0.5,1.5,2.5,7.5
5 seasons,NA,NYK,NBA,,230,44,13.9,1.4,3.7,0.383,0,0.1,0.231,1.4,3.6,0.388,0.386,1.1,1.5,0.775,0.9,2.1,3,0.8,0.4,0.2,1.1,2,4
1 season,NA,CHH,NBA,,54,1,9.7,1.1,2.4,0.477,0,0,0,1.1,2.3,0.484,0.477,0.7,1.1,0.613,1.3,1.7,3,0.6,0.5,0.3,0.8,2.1,3
1 season,NA,OKC,NBA,,20,0,15.5,1.7,4.5,0.378,0,0.2,0,1.7,4.4,0.391,0.378,1.6,2,0.8,0.7,2.6,3.3,1.3,0.5,0.1,1,2.4,5
