Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Brandon Roy,,13.5,9.1,8,4.8,2.1,0
James Silas,86.2,13.1,9.8,7.9,7.4,0.7,0.6
Mookie Blaylock,85.7,10.2,9.4,7,4.9,2.1,-0.3
Richie Guerin,84.3,12.1,8.4,7.4,5.4,3.5,1.7
Michael Redd,81.6,10.8,9.7,8,6.2,4.6,-0.1
Derrick Rose,81.2,13.1,6,6,4.9,1.2,-0.2
Kenny Anderson,80.7,12.4,7.7,7.5,6.8,4.4,0.5
Terrell Brandon,80.7,12.7,10.8,5.6,3.9,2.9,0.9
Anfernee Hardaway,80.5,14.4,10.7,8.1,7.1,5,1.1
Russell Westbrook,80.0,11.6,9.4,7.9,6.1,5.2,1.9
Mark Price,79.0,11.3,10.1,9.1,7.8,2,1.1
