,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,24,CHI,NBA,PF,45,879,,,5%,94%,1%,-7.6,+3.5,20,14,63,9,29,0,88,3,12
2001-02,25,PHI,NBA,PF,15,169,,,,73%,27%,-10.4,-12.9,3,4,10,2,4,0,11,0,4
2003-04,27,UTA,NBA,PF,41,733,,,,89%,11%,-3.8,-2.7,15,13,56,9,17,0,86,2,27
2004-05,28,WAS,NBA,C,79,1262,,,,36%,64%,-0.9,-0.9,17,13,112,7,24,0,149,3,14
2005-06,29,WAS,NBA,C,76,1010,,,,46%,54%,-0.7,-3.6,12,11,92,11,26,18,60,4,10
2006-07,30,WAS,NBA,PF,30,271,,,7%,54%,39%,-13.7,-13.8,4,3,27,1,6,4,13,1,1
2007-08,31,MIL,NBA,C,46,632,,,,33%,67%,-2.0,+6.6,6,6,62,3,25,8,53,1,4
2008-09,32,POR,NBA,PF,11,35,,,33%,66%,1%,-1.9,-8.3,1,1,4,0,1,0,0,0,2
Career,,,NBA,,343,4991,,,2%,58%,40%,-3.6,-1.1,78,65,426,42,132,30,460,14,74
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,WAS,NBA,,185,2543,,,1%,42%,57%,-2.2,-3.3,33,27,231,19,56,22,222,8,25
1 season,,MIL,NBA,,46,632,,,,33%,67%,-2.0,+6.6,6,6,62,3,25,8,53,1,4
1 season,,CHI,NBA,,45,879,,,5%,94%,1%,-7.6,+3.5,20,14,63,9,29,0,88,3,12
1 season,,UTA,NBA,,41,733,,,,89%,11%,-3.8,-2.7,15,13,56,9,17,0,86,2,27
1 season,,PHI,NBA,,15,169,,,,73%,27%,-10.4,-12.9,3,4,10,2,4,0,11,0,4
1 season,,POR,NBA,,11,35,,,33%,66%,1%,-1.9,-8.3,1,1,4,0,1,0,0,0,2
