Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,CHI,NBA,C,10,NA,60,9,21,0.429,NA,NA,NA,9,21,0.429,2.4,4.8,0.5,NA,NA,9.6,1.2,NA,NA,NA,6,20.4
1971-72,23,PTC,ABA,C,79,NA,1059,6.2,13,0.478,0,0,NA,6.2,13,0.478,2.9,3.9,0.73,4,7.6,11.6,1.8,NA,NA,2.3,6.1,15.2
1973-74,25,BUF,NBA,C,20,NA,51,7.8,19.1,0.407,NA,NA,NA,7.8,19.1,0.407,5.6,9.2,0.615,2.8,4.9,7.8,0,0.7,0.7,NA,7.1,21.2
1974-75,26,BUF,NBA,C,22,NA,103,7.7,16.4,0.468,NA,NA,NA,7.7,16.4,0.468,0.3,1.7,0.2,4.2,3.5,7.7,2.4,1,1,NA,7.7,15.7
1975-76,27,SSL,ABA,C,2,NA,5,14.4,21.6,0.667,0,0,NA,14.4,21.6,0.667,0,0,NA,7.2,14.4,21.6,0,0,0,0,0,28.8
Career,NA,,TOT,,133,NA,1278,6.5,13.9,0.471,0,0,NA,6.5,13.9,0.471,2.7,4,0.688,4,7.2,11.1,1.7,0.9,0.9,2.3,6.2,15.8
,NA,,ABA,,81,NA,1064,6.2,13,0.479,0,0,NA,6.2,13,0.479,2.8,3.9,0.73,4,7.6,11.6,1.8,0,0,2.3,6,15.3
,NA,,NBA,,52,NA,214,8.1,18.3,0.44,NA,NA,NA,8.1,18.3,0.44,2.2,4.4,0.5,3.7,4,8.2,1.5,0.9,0.9,NA,7.1,18.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PTC,ABA,,79,NA,1059,6.2,13,0.478,0,0,NA,6.2,13,0.478,2.9,3.9,0.73,4,7.6,11.6,1.8,NA,NA,2.3,6.1,15.2
2 seasons,NA,BUF,NBA,,42,NA,154,7.7,17.3,0.446,NA,NA,NA,7.7,17.3,0.446,2.1,4.2,0.5,3.7,4,7.7,1.6,0.9,0.9,NA,7.5,17.5
1 season,NA,CHI,NBA,,10,NA,60,9,21,0.429,NA,NA,NA,9,21,0.429,2.4,4.8,0.5,NA,NA,9.6,1.2,NA,NA,NA,6,20.4
1 season,NA,SSL,ABA,,2,NA,5,14.4,21.6,0.667,0,0,NA,14.4,21.6,0.667,0,0,NA,7.2,14.4,21.6,0,0,0,0,0,28.8
