Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,SEA,NBA,C,82,NA,29.6,6.9,14.2,0.489,4.2,6.5,0.658,NA,NA,9.5,1.2,NA,NA,3.9,18.1
1968-69,24,SEA,NBA,C,82,NA,37.9,9.5,20.2,0.469,5,7.4,0.682,NA,NA,11.5,1.7,NA,NA,3.9,24
1969-70,25,SEA,NBA,C,80,NA,37,9.9,21.3,0.463,4.8,6.8,0.714,NA,NA,10.3,1.8,NA,NA,3.5,24.6
1970-71,26,SEA,NBA,C,4,NA,35.5,11.8,24.5,0.48,6.3,7.5,0.833,NA,NA,11.5,1.8,NA,NA,3.5,29.8
1971-72,27,TOT,NBA,C,76,NA,29.3,6.1,13.9,0.436,3,4.4,0.675,NA,NA,7,1.5,NA,NA,2.5,15.1
1971-72,27,SEA,NBA,C,16,NA,15.2,2.8,7.8,0.363,1.4,2.7,0.535,NA,NA,3.4,0.4,NA,NA,1.7,7.1
1971-72,27,PHI,NBA,C,60,NA,33.1,6.9,15.6,0.445,3.4,4.9,0.695,NA,NA,8,1.8,NA,NA,2.7,17.3
1972-73,28,TOT,NBA,C,52,NA,8.7,1.2,3,0.38,0.4,0.6,0.645,NA,NA,2.1,0.7,NA,NA,1.3,2.7
1972-73,28,PHI,NBA,C,3,NA,4,0,0.3,0,0,0,NA,NA,NA,0.7,0.3,NA,NA,0.7,0
1972-73,28,CLE,NBA,C,49,NA,9,1.2,3.2,0.382,0.4,0.6,0.645,NA,NA,2.2,0.8,NA,NA,1.3,2.9
1973-74,29,CLE,NBA,C,26,NA,20.8,2.9,7.4,0.396,1.3,1.8,0.739,1.7,2.3,4,1.8,0.5,0.4,2.7,7.2
1974-75,30,MIL,NBA,C,1,NA,11,0,1,0,0,0,NA,0,0,0,2,0,0,2,0
Career,NA,,NBA,,403,NA,29.4,6.9,15,0.461,3.6,5.3,0.686,1.6,2.2,8.3,1.5,0.4,0.4,3.1,17.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SEA,NBA,,264,NA,33.6,8.4,18,0.469,4.5,6.6,0.683,NA,NA,10,1.5,NA,NA,3.6,21.4
2 seasons,NA,CLE,NBA,,75,NA,13.1,1.8,4.7,0.39,0.7,1,0.701,1.7,2.3,2.8,1.1,0.5,0.4,1.8,4.3
2 seasons,NA,PHI,NBA,,63,NA,31.7,6.6,14.8,0.445,3.2,4.6,0.695,NA,NA,7.6,1.8,NA,NA,2.6,16.4
1 season,NA,MIL,NBA,,1,NA,11,0,1,0,0,0,NA,0,0,0,2,0,0,2,0
