Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,MIL,NBA,C,60,12,872,4.8,11.1,0.433,0,0,NA,4.8,11.1,0.433,1.2,2.1,0.56,2.4,4.9,7.3,0.7,0.9,3,1.6,4.8,10.7
2011-12,23,MIL,NBA,PF,52,0,643,4.7,10.3,0.457,0,0.1,0,4.7,10.2,0.462,1,2.1,0.474,3.5,5.5,9,1.8,1.8,4.3,2.4,7.4,10.4
2012-13,24,MIL,NBA,C,71,55,1937,5.7,11.2,0.506,0,0,0,5.7,11.2,0.507,1.6,2.5,0.618,4.2,8.3,12.5,1.5,1,3.7,1.6,4.3,12.9
2013-14,25,MIL,NBA,C,23,20,584,4.7,10,0.469,0,0.1,0,4.7,9.9,0.472,1.6,3.4,0.473,3.7,6.5,10.2,1.2,1.1,2.5,1.6,4.6,11
2014-15,26,MIL,NBA,C,27,26,586,5.3,10.6,0.5,0,0,NA,5.3,10.6,0.5,1.5,2.9,0.5,4.1,6.1,10.2,1.4,1.6,2.4,1.7,6.4,12
2016-17,28,CLE,NBA,C,5,0,13,2.8,11.1,0.25,0,0,NA,2.8,11.1,0.25,5.5,5.5,1,8.3,2.8,11.1,0,2.8,2.8,5.5,13.8,11.1
Career,NA,,NBA,,238,113,4635,5.2,10.8,0.48,0,0,0,5.2,10.8,0.481,1.4,2.6,0.553,3.7,6.8,10.4,1.4,1.2,3.3,1.7,5.2,11.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIL,NBA,,233,113,4622,5.2,10.8,0.48,0,0,0,5.2,10.8,0.482,1.4,2.5,0.55,3.7,6.8,10.4,1.4,1.2,3.3,1.7,5.1,11.8
1 season,NA,CLE,NBA,,5,0,13,2.8,11.1,0.25,0,0,NA,2.8,11.1,0.25,5.5,5.5,1,8.3,2.8,11.1,0,2.8,2.8,5.5,13.8,11.1
