Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Charlie Scott,,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,NA
Michael Adams,87.2,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1
B.J. Armstrong,86.6,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4
Kenny Smith,85.8,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA
Lucius Allen,85.2,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1,NA
Pete Maravich,85.1,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA
Brian Taylor,84.8,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA
Eddie Johnson,84.5,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA
John Wall,84.5,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
Ty Lawson,84.2,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA,NA
Gene Shue,84.2,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.7,0.4,-1.1,NA
