Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22,TOT,NBA,SF,71,NA,2668,6.1,16.1,0.378,6,8.2,0.728,5.3,3.3,3.1,18.2
1954-55,22,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954-55,22,MLH,NBA,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-56,23,STL,NBA,SG,17,NA,444,5.4,14.8,0.366,4.3,5.8,0.746,4.4,2.8,3.1,15.2
1957-58,25,TOT,NBA,SG,38,NA,426,3.7,14.1,0.263,4,6.5,0.61,7.4,3,3.7,11.4
1957-58,25,STL,NBA,,26,NA,195,3,15.3,0.193,5,8.9,0.563,9.8,3,4.2,10.9
1957-58,25,MNL,NBA,SG,12,NA,231,4.4,13.1,0.333,3.1,4.5,0.69,5.5,3,3.3,11.8
1958-59,26,NYK,NBA,SG,68,NA,1448,5.8,15,0.385,5,6.5,0.767,6.2,2.4,2.8,16.6
1959-60,27,TOT,NBA,SG,62,NA,1308,5.6,14.3,0.393,4.2,5.7,0.736,4.8,3.1,2.8,15.5
1959-60,27,SYR,NBA,SG,19,NA,217,6,15.6,0.383,5.1,8,0.646,8,5,4.1,17.1
1959-60,27,MNL,NBA,SG,43,NA,1091,5.6,14.1,0.396,4,5.3,0.763,4.2,2.7,2.5,15.2
1960-61,28,LAL,NBA,SG,77,NA,2153,5.2,12.8,0.405,3.5,4.7,0.753,5,4.1,3.7,13.9
1961-62,29,LAL,NBA,SG,79,NA,2806,5.6,13.2,0.42,3.8,5.2,0.738,5.3,4.9,3,14.9
1962-63,30,LAL,NBA,SG,80,NA,2369,4.8,11.4,0.424,2.9,4.1,0.714,4.4,4.3,2.3,12.6
1963-64,31,LAL,NBA,SG,73,NA,1286,4.5,11.8,0.378,2.2,3.4,0.639,3.9,4.2,3.2,11.1
Career,NA,,NBA,,565,NA,14908,5.4,13.6,0.394,4,5.6,0.728,5.1,3.8,3,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"MNL,LAL",NBA,,364,NA,9936,5.1,12.6,0.407,3.3,4.6,0.728,4.7,4.2,2.9,13.6
1 season,NA,NYK,NBA,,68,NA,1448,5.8,15,0.385,5,6.5,0.767,6.2,2.4,2.8,16.6
3 seasons,NA,"MLH,STL",NBA,,43,NA,639,4.7,15,0.312,4.5,6.7,0.672,6,2.9,3.4,13.9
1 season,NA,SYR,NBA,,19,NA,217,6,15.6,0.383,5.1,8,0.646,8,5,4.1,17.1
1 season,NA,BLB,NBA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
