Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,MIL,NBA,PG,17,7,450,51,117,0.436,3,7,0.429,48,110,0.436,0.449,32,41,0.78,8,50,58,127,17,3,36,26,137
2008-09,22,MIL,NBA,PG,79,39,2173,345,775,0.445,6,34,0.176,339,741,0.457,0.449,281,354,0.794,64,205,269,452,83,7,152,158,977
2009-10,23,MIN,NBA,PG,82,1,1732,253,555,0.456,1,15,0.067,252,540,0.467,0.457,167,233,0.717,58,156,214,258,55,5,137,137,674
2010-11,24,CLE,NBA,PG,81,38,2133,362,776,0.466,3,15,0.2,359,761,0.472,0.468,348,423,0.823,46,209,255,419,60,8,178,93,1075
2011-12,25,TOT,NBA,PG,64,23,1707,242,565,0.428,43,97,0.443,199,468,0.425,0.466,194,248,0.782,33,181,214,354,44,3,141,100,721
2011-12,25,CLE,NBA,PG,41,4,1006,141,354,0.398,26,62,0.419,115,292,0.394,0.435,122,147,0.83,19,108,127,212,27,1,82,63,430
2011-12,25,LAL,NBA,PG,23,19,701,101,211,0.479,17,35,0.486,84,176,0.477,0.519,72,101,0.713,14,73,87,142,17,2,59,37,291
2012-13,26,CHA,NBA,SG,61,0,1652,276,676,0.408,33,107,0.308,243,569,0.427,0.433,291,347,0.839,27,142,169,230,48,7,104,91,876
2013-14,27,TOT,NBA,PG,83,19,2214,330,769,0.429,35,124,0.282,295,645,0.457,0.452,326,404,0.807,38,165,203,340,49,9,148,90,1021
2013-14,27,CHA,NBA,PG,55,7,1305,190,465,0.409,15,68,0.221,175,397,0.441,0.425,183,234,0.782,22,95,117,206,33,6,93,50,578
2013-14,27,MIL,NBA,PG,28,12,909,140,304,0.461,20,56,0.357,120,248,0.484,0.493,143,170,0.841,16,70,86,134,16,3,55,40,443
2014-15,28,TOT,NBA,PG,64,10,1188,125,334,0.374,19,60,0.317,106,274,0.387,0.403,133,173,0.769,23,121,144,182,29,0,86,73,402
2014-15,28,SAC,NBA,PG,36,7,642,63,183,0.344,6,28,0.214,57,155,0.368,0.361,64,88,0.727,13,56,69,96,13,0,51,45,196
2014-15,28,WAS,NBA,PG,28,3,546,62,151,0.411,13,32,0.406,49,119,0.412,0.454,69,85,0.812,10,65,75,86,16,0,35,28,206
2015-16,29,WAS,NBA,PG,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810
2016-17,30,CHO,NBA,PG,50,1,811,100,263,0.38,21,62,0.339,79,201,0.393,0.42,91,118,0.771,11,62,73,129,27,3,46,43,312
2017-18,31,TOT,NBA,PG,28,3,392,42,117,0.359,8,26,0.308,34,91,0.374,0.393,44,57,0.772,6,32,38,77,14,2,30,29,136
2017-18,31,NYK,NBA,PG,13,3,167,17,53,0.321,2,11,0.182,15,42,0.357,0.34,12,15,0.8,1,17,18,27,7,1,15,14,48
2017-18,31,WAS,NBA,PG,15,0,225,25,64,0.391,6,15,0.4,19,49,0.388,0.438,32,42,0.762,5,15,20,50,7,1,15,15,88
Career,NA,,NBA,,691,146,16119,2406,5539,0.434,208,658,0.316,2198,4881,0.45,0.453,2121,2681,0.791,339,1501,1840,2807,472,52,1173,942,7141
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,"CHA,CHO",NBA,,166,8,3768,566,1404,0.403,69,237,0.291,497,1167,0.426,0.428,565,699,0.808,60,299,359,565,108,16,243,184,1766
3 seasons,NA,WAS,NBA,,125,8,2438,367,807,0.455,55,158,0.348,312,649,0.481,0.489,315,410,0.768,40,258,298,375,69,6,165,145,1104
3 seasons,NA,MIL,NBA,,124,58,3532,536,1196,0.448,29,97,0.299,507,1099,0.461,0.46,456,565,0.807,88,325,413,713,116,13,243,224,1557
2 seasons,NA,CLE,NBA,,122,42,3139,503,1130,0.445,29,77,0.377,474,1053,0.45,0.458,470,570,0.825,65,317,382,631,87,9,260,156,1505
1 season,NA,MIN,NBA,,82,1,1732,253,555,0.456,1,15,0.067,252,540,0.467,0.457,167,233,0.717,58,156,214,258,55,5,137,137,674
1 season,NA,SAC,NBA,,36,7,642,63,183,0.344,6,28,0.214,57,155,0.368,0.361,64,88,0.727,13,56,69,96,13,0,51,45,196
1 season,NA,LAL,NBA,,23,19,701,101,211,0.479,17,35,0.486,84,176,0.477,0.519,72,101,0.713,14,73,87,142,17,2,59,37,291
1 season,NA,NYK,NBA,,13,3,167,17,53,0.321,2,11,0.182,15,42,0.357,0.34,12,15,0.8,1,17,18,27,7,1,15,14,48
