Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bill Sharman,,10.4,10.4,9.8,8.8,8.7,7.9,7.7,7.6,5.4,4.3,1.8
Hersey Hawkins,94.1,10.9,9.8,9.5,8.7,8.6,8.5,8,7.8,6.5,4,3.5
Steve Smith,93.8,10.4,10.2,9.1,8.2,8.1,7.9,7.8,6.4,4.4,3.5,1.5
Sam Jones,92.7,12.8,10,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,2.1
Jason Terry,92.5,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.1,1.9
Allen Iverson,92.2,11.8,10.6,9.2,9,9,7.2,6.9,6.9,6.2,4.1,2.8
Eddie Jones,92.1,10.5,10.1,10.1,9.6,9.1,8,7.9,6.8,6,6,5
Hal Greer,92.0,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,5.8,4.5
Jason Kidd,91.7,11.3,9.6,8.9,8.5,8.1,8,7.2,7.2,4.4,4.3,3.7
Maurice Cheeks,91.2,10.6,9.4,9,8.6,8.5,8.3,7.9,7.9,7.3,5.3,4.9
Jeff Hornacek,91.2,11.6,10.2,10.2,10.1,9.7,8.7,7.7,6.9,6.3,5,1.2
