Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,DLC,ABA,SG,78,NA,31,4.4,8.7,0.502,0,0,NA,4.4,8.7,0.502,0.502,5,6,0.833,1.4,2.9,4.3,3.1,NA,NA,2.5,3.4,13.7
1973-74,24,SAA,ABA,PG,84,NA,36.9,5.8,12.1,0.478,0,0,0,5.8,12.1,0.478,0.478,4.2,5,0.831,1,3.1,4.1,3.8,1.1,0.1,2.6,3,15.7
1974-75,25,SAA,ABA,PG,82,NA,37.9,7,13.9,0.509,0,0,0,7,13.8,0.51,0.509,5.2,5.9,0.885,0.9,2.9,3.8,4.9,1.4,0.2,2.8,2.8,19.3
1975-76,26,SAA,ABA,PG,84,NA,37,8.5,16.5,0.519,0,0,0,8.5,16.5,0.52,0.519,6.7,7.7,0.872,1.3,2.7,4,5.4,1.8,0.3,3,3.1,23.8
1976-77,27,SAS,NBA,PG,22,NA,16.2,2.8,6.5,0.43,NA,NA,NA,2.8,6.5,0.43,0.43,4,4.9,0.813,0.3,1.1,1.5,2.3,0.6,0.1,NA,1.6,9.5
1977-78,28,SAS,NBA,PG,37,NA,8.4,1.2,2.6,0.443,NA,NA,NA,1.2,2.6,0.443,0.443,1.6,2,0.822,0.1,0.5,0.6,1,0.3,0,0.8,0.8,3.9
1978-79,29,SAS,NBA,PG,79,NA,27.5,5.9,11.7,0.505,NA,NA,NA,5.9,11.7,0.505,0.505,4.2,5.1,0.831,0.4,1.9,2.3,3.5,1,0.3,2.5,2.7,16
1979-80,30,SAS,NBA,PG,77,NA,29.8,6.7,13,0.514,0,0.1,0,6.7,12.9,0.516,0.514,4.4,5,0.887,0.6,1.6,2.2,4.5,0.8,0.2,2.5,2.7,17.7
1980-81,31,SAS,NBA,PG,75,NA,27.4,6.3,13.3,0.477,0,0,0,6.3,13.3,0.478,0.477,5,5.9,0.85,0.6,2.5,3.1,3.8,0.7,0.2,2.1,1.7,17.7
1981-82,32,CLE,NBA,SG,67,34,21.6,3.7,8.6,0.438,0,0.1,0,3.7,8.5,0.442,0.438,3.7,4.3,0.86,0.4,1.2,1.6,3.3,0.6,0.1,1.6,1.6,11.2
Career,NA,,TOT,,685,34,29.7,5.7,11.6,0.495,0,0,0,5.7,11.6,0.496,0.495,4.6,5.4,0.855,0.8,2.2,3,3.8,1,0.2,2.4,2.5,16.1
,NA,,NBA,,357,34,24.2,5.1,10.4,0.485,0,0.1,0,5.1,10.4,0.487,0.485,4,4.7,0.852,0.5,1.6,2.1,3.4,0.7,0.2,2.1,2,14.2
,NA,,ABA,,328,NA,35.8,6.5,12.9,0.504,0,0,0,6.5,12.8,0.504,0.504,5.3,6.2,0.857,1.1,2.9,4,4.3,1.4,0.2,2.7,3.1,18.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,"DLC,SAA,SAS",ABA,,618,NA,30.6,6,11.9,0.499,0,0,0,6,11.9,0.5,0.499,4.7,5.5,0.855,0.8,2.3,3.2,3.9,1.1,0.2,2.5,2.6,16.7
1 season,NA,CLE,NBA,,67,34,21.6,3.7,8.6,0.438,0,0.1,0,3.7,8.5,0.442,0.438,3.7,4.3,0.86,0.4,1.2,1.6,3.3,0.6,0.1,1.6,1.6,11.2
