Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
James Silas,,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA,NA,NA
Michael Redd,88.4,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,NA,NA
Anfernee Hardaway,87.7,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4,0.2,0.2,-0.2
Bobby Wanzer,87.0,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA,NA
Archie Clark,86.5,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA,NA,NA
Jeff Mullins,85.8,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3,NA,NA
Gus Williams,84.8,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA,NA,NA
Jim Paxson,84.7,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA,NA,NA
Steve Francis,84.4,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA,NA,NA
Kenny Anderson,83.7,12.4,7.7,7.5,7.3,6.8,5.2,4.4,3.7,2.4,1.6,1.5,1.1,0.5,0.2
Kyrie Irving,83.5,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA,NA,NA
