Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2001-02,21,WAS,NBA,SF,30,343,13.2,0.518,0.147,0.316,8.4,9.3,8.8,8,2.1,1.1,11.5,16.4,NA,0.4,0.2,0.7,0.092,NA,0.3,-0.3,0,0.2
2002-03,22,WAS,NBA,SG,36,378,13,0.471,0.045,0.313,10.3,13.8,12,8.9,1.4,0.6,5.9,16.9,NA,0.6,0.3,0.9,0.111,NA,-1.7,-1.2,-2.9,-0.1
2003-04,23,LAC,NBA,SF,56,1376,12.6,0.488,0.032,0.453,9.4,12.3,10.8,11.5,2,0.9,14,16.8,NA,1.6,0.4,2,0.07,NA,-0.9,-0.7,-1.6,0.1
2004-05,24,LAC,NBA,SF,75,2799,16.1,0.54,0.113,0.268,5.7,13.2,9.6,13.1,2,0.4,10.6,21,NA,4.2,2.6,6.8,0.117,NA,0.8,0,0.7,1.9
2005-06,25,MIL,NBA,SF,75,2538,13.8,0.559,0.309,0.248,4.2,11.5,7.8,11.2,1.8,0.7,12.1,18.3,NA,3.3,2,5.3,0.101,NA,0.2,0.1,0.3,1.5
2007-08,27,MIL,NBA,SF,70,1521,10.3,0.504,0.345,0.141,5,12.8,8.7,8.4,1.7,0.3,12.9,17.9,NA,0.2,0.5,0.7,0.022,NA,-1.9,-1.2,-3.2,-0.4
2008-09,28,NJN,NBA,SF,71,1729,12,0.596,0.594,0.132,4.9,14.3,9.5,8.5,1.5,0.5,11.7,14.3,NA,2.4,1,3.4,0.095,NA,0.3,-0.4,0,0.8
2009-10,29,NJN,NBA,PF,23,395,8,0.485,0.538,0.171,3.1,15.9,9.2,6.3,2,0.6,13.1,16.8,NA,-0.2,0.3,0.1,0.014,NA,-3.6,0,-3.6,-0.2
2010-11,30,SAS,NBA,SF,2,16,-5.5,0,1,0,0,0,0,15.7,0,0,0,8.6,NA,0,0,0,-0.138,NA,-8.9,-2.9,-11.8,0
2011-12,31,LAC,NBA,SF,28,418,6,0.43,0.667,0.078,4.8,10.9,7.8,3.8,1.9,0.6,9.7,11.4,NA,0,0.3,0.3,0.029,NA,-3.3,-0.3,-3.6,-0.2
Career,NA,,NBA,,466,11513,12.9,0.533,0.269,0.243,5.7,12.7,9.2,10.3,1.8,0.6,11.7,17.7,NA,12.4,7.7,20.1,0.084,NA,-0.4,-0.4,-0.7,3.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAC,NBA,,159,4593,14.1,0.52,0.126,0.303,6.7,12.7,9.8,11.8,2,0.6,11.5,18.9,NA,5.7,3.3,9.1,0.095,NA,-0.1,-0.3,-0.4,1.8
2 seasons,NA,MIL,NBA,,145,4059,12.5,0.539,0.323,0.207,4.5,12,8.1,10.2,1.8,0.5,12.4,18.2,NA,3.6,2.5,6,0.071,NA,-0.6,-0.4,-1,1
2 seasons,NA,NJN,NBA,,94,2124,11.3,0.572,0.582,0.14,4.6,14.6,9.5,8.1,1.6,0.5,12,14.8,NA,2.2,1.4,3.5,0.08,NA,-0.4,-0.3,-0.7,0.7
2 seasons,NA,WAS,NBA,,66,721,13.1,0.492,0.092,0.314,9.4,11.6,10.5,8.5,1.7,0.8,8.5,16.7,NA,1,0.5,1.5,0.102,NA,-0.7,-0.8,-1.5,0.1
1 season,NA,SAS,NBA,,2,16,-5.5,0,1,0,0,0,0,15.7,0,0,0,8.6,NA,0,0,0,-0.138,NA,-8.9,-2.9,-11.8,0
