,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2015-16,26,SAS,NBA,SG,55,813,.504,8.4,.806,.479,.194,.054,.074,.194,.533,.664,.340,.385,.333,.383,.558,.124,26,1.000,.447,.524,2,0
2016-17,27,SAS,NBA,SG,78,1392,.420,12.0,.758,.349,.140,.081,.188,.242,.461,.592,.356,.412,.316,.294,.510,.093,31,1.000,.363,.297,4,0
2017-18,28,ORL,NBA,SG,69,2029,.465,11.8,.732,.269,.229,.114,.118,.268,.512,.688,.414,.333,.467,.338,.351,.038,27,.855,.270,.345,2,0
2018-19,29,TOT,NBA,SG-SF,56,1064,.380,13.1,.703,.240,.257,.094,.111,.297,.427,.595,.367,.364,.256,.269,.400,.043,13,.714,.231,.333,3,0
2018-19,29,ORL,NBA,SG,41,845,.364,13.0,.710,.234,.262,.091,.122,.290,.419,.627,.347,.346,.229,.229,.365,.045,12,.737,.229,.263,2,0
2018-19,29,PHI,NBA,SF,15,219,.453,13.5,.672,.266,.234,.109,.063,.328,.465,.471,.467,.429,.500,.429,.550,.031,1,.667,.238,.600,1,0
Career,,,NBA,,258,5298,.443,11.6,.742,.311,.209,.094,.127,.258,.487,.643,.384,.359,.367,.317,.429,.064,97,.876,.300,.358,11,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAS,NBA,,133,2205,.451,10.7,.775,.397,.160,.071,.146,.225,.488,.624,.349,.404,.320,.322,.530,.104,57,1.000,.389,.379,6,0
2 seasons,,ORL,NBA,,110,2874,.437,12.1,.726,.260,.238,.108,.119,.274,.487,.673,.394,.336,.400,.307,.354,.040,39,.830,.258,.324,4,0
1 season,,PHI,NBA,,15,219,.453,13.5,.672,.266,.234,.109,.063,.328,.465,.471,.467,.429,.500,.429,.550,.031,1,.667,.238,.600,1,0
