Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Walter Simon,,6.1,4.8,4.5,4.1,3.4,2.7,2
Harvey Grant,93.4,6.7,5,4.3,4,3.9,2.6,1.7
John Johnson,93.4,6.2,4.6,4.3,4,2.5,2.3,2.1
Matt Bonner,91.6,6.8,4.4,4.2,4.1,3.7,2.2,2
Harrison Barnes,91.5,6.7,4.9,4.6,3.8,3.6,3.2,2.8
Glenn Robinson,91.3,6.7,4.8,4.7,4,3.5,3.2,3.1
Darnell Hillman,90.7,6.2,4.4,4.2,3.8,3.3,3.2,3.2
Robert Horry,90.2,6.6,5.9,4.9,4.2,3.6,2.9,1.7
Patrick Patterson,90.2,6.1,4.1,3.8,3.6,3.3,2.4,1.6
Clyde Lee,89.9,6.1,5.1,3.5,3.4,3.1,2.2,2.1
Juwan Howard,89.8,7,5.6,4.6,4.4,2.8,2.8,1.9
