,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,28,NJA,ABA,,14,,1,,,,8,10,,,,,,,,,30
1968-69,29,NYA,ABA,,14,,2,,,,12,16,,,,,,,,,36
1969-70,30,NYA,ABA,,13,,1,,,,12,17,,,,,,,,,34
1970-71,31,KEN,ABA,,13,,1,,,,6,8,,,,,,,,,30
1971-72,32,KEN,ABA,,13,,1,,,,9,19,,,,,,,,,35
1972-73,33,KEN,ABA,,14,,1,,,,6,8,,,,,,,,,29
1973-74,34,KEN,ABA,,11,,1,,,,5,5,,,,,,,,,23
Career,,,,,14,,2,,,,12,19,,,,,,,,,36
4 Seasons,,KEN,ABA,,14,,1,,,,9,19,,,,,,,,,35
3 Seasons,,"NJA,NYA",ABA,,14,,2,,,,12,17,,,,,,,,,36
