Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,21,DNR,ABA,SG,81,NA,1820,9.1,21.9,0.415,0.3,1.2,0.283,8.8,20.7,0.423,4.3,5.6,0.754,2.5,2.1,4.6,3.3,NA,NA,3.7,3,22.8
1971-72,22,DNR,ABA,SG,84,NA,3006,11,24,0.46,0,0.3,0.136,11,23.7,0.464,5.5,6.8,0.805,2,2.7,4.8,3.1,NA,NA,3.2,2.9,27.5
1972-73,23,DNR,ABA,SG,81,NA,2589,10.2,23.2,0.438,0.1,0.3,0.208,10.1,22.9,0.442,5.9,7.7,0.757,1.9,3.2,5.2,3.1,1.8,NA,3.9,3.4,26.3
1973-74,24,DNR,ABA,SF,75,NA,2244,9.6,22.4,0.428,0,0.4,0.083,9.5,22,0.434,3.3,4.4,0.754,1.8,3.4,5.2,3.1,1.7,0.2,3.1,3,22.5
1974-75,25,DNA,ABA,SG,82,NA,2863,8.7,17.3,0.505,0,0.2,0.083,8.7,17.1,0.509,3.8,5.1,0.754,1.4,3.6,4.9,5.6,2.1,0.2,3.9,2.7,21.3
1975-76,26,DNA,ABA,SG,84,NA,3121,7.1,14,0.511,0,0.3,0.167,7.1,13.7,0.518,3.1,4,0.78,1.4,3.8,5.2,6.9,1.8,0.3,4.2,2.1,17.5
1976-77,27,DET,NBA,SG,77,NA,1597,8,18.8,0.427,NA,NA,NA,8,18.8,0.427,3.1,4.4,0.708,1.1,3,4.1,4.1,1.5,0.1,NA,2.3,19.2
1977-78,28,TOT,NBA,SG,64,NA,1323,5.9,15.7,0.375,NA,NA,NA,5.9,15.7,0.375,2.3,2.8,0.817,1.4,2.8,4.3,4.3,2,0.2,3.4,2.4,14.1
1977-78,28,DET,NBA,SG,32,NA,739,7,16.9,0.413,NA,NA,NA,7,16.9,0.413,2.6,3.1,0.844,1.3,2.7,4,4.2,1.6,0.1,3.8,2.3,16.6
1977-78,28,DEN,NBA,SG,32,NA,584,4.5,14.2,0.317,NA,NA,NA,4.5,14.2,0.317,1.9,2.5,0.775,1.6,3,4.6,4.4,2.7,0.2,3,2.6,10.9
1978-79,29,TOT,NBA,SG,69,NA,979,6.4,15.9,0.402,NA,NA,NA,6.4,15.9,0.402,2.8,4.1,0.685,1.3,2.2,3.5,4.6,1.4,0.2,3.7,2.1,15.6
1978-79,29,PHI,NBA,SG,37,NA,452,6.9,15.6,0.444,NA,NA,NA,6.9,15.6,0.444,2.2,3.2,0.7,1.3,1.5,2.8,4.6,2,0.1,3.7,2.2,16.1
1978-79,29,NJN,NBA,SG,32,NA,527,5.9,16.2,0.367,NA,NA,NA,5.9,16.2,0.367,3.3,4.9,0.676,1.3,2.9,4.2,4.6,0.8,0.3,3.6,2,15.2
1979-80,30,NJN,NBA,SG,8,NA,81,8,20.9,0.383,0,0.9,0,8,20,0.4,2.2,4.4,0.5,2.7,2.2,4.9,6.2,4,0,5.3,1.3,18.2
Career,NA,,TOT,,705,NA,19623,8.8,19.5,0.449,0.1,0.4,0.19,8.7,19.2,0.454,4,5.2,0.763,1.7,3.1,4.8,4.3,1.8,0.2,3.7,2.7,21.6
,NA,,ABA,,487,NA,15643,9.3,20.2,0.459,0.1,0.4,0.193,9.2,19.8,0.464,4.3,5.6,0.77,1.8,3.2,5,4.3,1.8,0.2,3.7,2.8,22.9
,NA,,NBA,,218,NA,3980,6.9,17.1,0.404,0,0.9,0,6.9,17.1,0.405,2.7,3.8,0.724,1.3,2.7,4,4.3,1.7,0.2,3.6,2.3,16.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"DNR,DNA,DEN",ABA,,519,NA,16227,9.1,19.9,0.456,0.1,0.4,0.193,9,19.6,0.461,4.2,5.5,0.77,1.8,3.2,5,4.3,1.9,0.2,3.7,2.8,22.5
2 seasons,NA,DET,NBA,,109,NA,2336,7.7,18.2,0.423,NA,NA,NA,7.7,18.2,0.423,3,4,0.741,1.2,2.9,4.1,4.1,1.5,0.1,3.8,2.3,18.3
2 seasons,NA,NJN,NBA,,40,NA,608,6.2,16.8,0.37,0,0.9,0,6.2,16.7,0.372,3.1,4.8,0.654,1.5,2.8,4.3,4.9,1.2,0.2,3.8,2,15.6
1 season,NA,PHI,NBA,,37,NA,452,6.9,15.6,0.444,NA,NA,NA,6.9,15.6,0.444,2.2,3.2,0.7,1.3,1.5,2.8,4.6,2,0.1,3.7,2.2,16.1
