Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,26,PHI,NBA,PF,8,0,38,1,6,0.167,0,1,0,1,5,0.2,0.167,4,4,1,3,3,6,0,0,1,2,6,6
2003-04,27,MIL,NBA,C,5,3,94,11,21,0.524,0,0,NA,11,21,0.524,0.524,5,12,0.417,8,14,22,0,1,3,7,8,27
2004-05,28,SAC,NBA,C,4,1,47,4,8,0.5,0,0,NA,4,8,0.5,0.5,0,0,NA,6,5,11,2,2,4,5,5,8
2007-08,31,PHO,NBA,C,4,0,21,2,4,0.5,0,0,NA,2,4,0.5,0.5,4,8,0.5,0,3,3,0,0,3,0,4,8
Career,NA,,NBA,,21,4,200,18,39,0.462,0,1,0,18,38,0.474,0.462,13,24,0.542,17,25,42,2,3,11,14,23,49
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,8,0,38,1,6,0.167,0,1,0,1,5,0.2,0.167,4,4,1,3,3,6,0,0,1,2,6,6
1 season,NA,MIL,NBA,,5,3,94,11,21,0.524,0,0,NA,11,21,0.524,0.524,5,12,0.417,8,14,22,0,1,3,7,8,27
1 season,NA,PHO,NBA,,4,0,21,2,4,0.5,0,0,NA,2,4,0.5,0.5,4,8,0.5,0,3,3,0,0,3,0,4,8
1 season,NA,SAC,NBA,,4,1,47,4,8,0.5,0,0,NA,4,8,0.5,0.5,0,0,NA,6,5,11,2,2,4,5,5,8
