Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,NOH,NBA,SG,76,56,1859,5.7,14.5,0.394,1.6,5.4,0.288,4.1,9,0.458,2.1,3.1,0.689,0.8,2.2,2.9,2.7,1.1,0.2,2.1,2.6,15.1
2005-06,20,NOK,NBA,SG,55,25,989,5.2,13.3,0.393,1.9,5.1,0.371,3.3,8.2,0.407,3,3.7,0.822,0.7,3.3,4,2.1,1.3,0.1,2,3.3,15.4
2006-07,21,DEN,NBA,SG,63,24,1471,7,15.8,0.441,3.6,9.3,0.39,3.3,6.4,0.515,2.5,3.1,0.81,0.7,2.8,3.5,2.2,1.2,0.2,2.1,3.6,20
2007-08,22,DEN,NBA,SG,74,0,1421,7.9,17.1,0.461,4,9.9,0.403,3.9,7.2,0.542,3.2,4.5,0.719,1.1,2.8,3.9,3.2,1.6,0.3,2.8,3.6,23
2008-09,23,DEN,NBA,SG,81,18,2245,6.8,15.2,0.446,2.9,7.3,0.397,3.9,8,0.491,3.3,4.4,0.754,0.7,4.1,4.8,3.6,1.3,0.2,2.4,3,19.8
2009-10,24,DEN,NBA,SG,75,0,2082,7.4,17.9,0.414,2.7,8.1,0.338,4.7,9.8,0.477,2.5,3.5,0.706,0.5,3.6,4,3.2,1.7,0.3,2.4,3,20
2010-11,25,DEN,NBA,SF,79,6,1968,6.2,14.3,0.435,2.3,5.8,0.39,4,8.5,0.466,3,4,0.738,0.8,5.1,5.9,3.2,1.7,0.3,1.8,3.2,17.7
2011-12,26,NYK,NBA,SG,35,1,967,6.1,15.1,0.407,2.5,7.2,0.347,3.6,7.9,0.462,1.5,2,0.709,1.1,4,5.1,3.1,2,0.2,1.7,3.2,16.2
2012-13,27,NYK,NBA,SG,80,0,2678,7.1,16.8,0.422,2.1,5.9,0.356,5,10.9,0.458,3.2,4.2,0.762,0.9,4.9,5.7,2.9,1.3,0.3,1.8,3,19.4
2013-14,28,NYK,NBA,SF,74,37,2421,5.9,14.2,0.415,2.8,7.1,0.394,3.1,7.1,0.436,1.3,2.1,0.652,0.5,3.9,4.4,3.3,1,0.3,1.6,2.9,15.9
2014-15,29,TOT,NBA,SG,70,51,2080,5.5,13.1,0.417,2.8,7.4,0.383,2.6,5.7,0.462,0.9,1.2,0.75,0.5,3.3,3.8,3.4,1.4,0.4,1.7,2.8,14.7
2014-15,29,NYK,NBA,SG,24,6,619,5.9,14.6,0.402,1.9,5.2,0.356,4,9.4,0.429,1.6,2.3,0.692,0.2,3.1,3.4,4.7,1,0.2,2.6,2.6,15.2
2014-15,29,CLE,NBA,SG,46,45,1461,5.3,12.4,0.425,3.2,8.3,0.39,2,4.1,0.494,0.7,0.8,0.818,0.6,3.3,3.9,2.8,1.6,0.4,1.3,2.9,14.4
2015-16,30,CLE,NBA,SG,77,77,2362,5.4,13,0.415,3.1,7.8,0.4,2.3,5.2,0.438,0.7,1.1,0.634,0.7,2.7,3.3,2,1.2,0.3,0.9,3.1,14.6
2016-17,31,CLE,NBA,SG,41,35,1187,3.7,10.8,0.346,2.9,8.2,0.351,0.8,2.6,0.329,0.3,0.5,0.667,0.5,2.9,3.4,1.9,1.2,0.3,0.8,2.3,10.6
2017-18,32,CLE,NBA,SG,80,61,2244,3.9,9.5,0.403,2.3,6.1,0.375,1.6,3.4,0.453,0.6,0.9,0.696,0.5,3.3,3.8,2.3,1.1,0.2,1.3,2.6,10.6
2018-19,33,CLE,NBA,SG,11,4,222,4.4,12.8,0.342,1.9,6.3,0.308,2.4,6.5,0.375,1.3,1.6,0.8,0,2.9,2.9,3.4,1.8,0.5,1.8,3.1,12
Career,NA,,NBA,,971,395,26196,6,14.4,0.419,2.7,7.1,0.373,3.4,7.3,0.463,2,2.7,0.732,0.7,3.5,4.2,2.9,1.3,0.3,1.8,3,16.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DEN,NBA,,372,48,9187,7,16,0.438,3,7.9,0.382,4,8.1,0.492,2.9,3.9,0.741,0.7,3.8,4.5,3.2,1.5,0.3,2.3,3.2,19.9
5 seasons,NA,CLE,NBA,,255,222,7476,4.6,11.5,0.401,2.8,7.4,0.381,1.8,4.1,0.439,0.6,0.9,0.697,0.6,3,3.6,2.3,1.3,0.3,1.1,2.8,12.7
4 seasons,NA,NYK,NBA,,213,44,6685,6.4,15.4,0.416,2.4,6.5,0.369,4,8.9,0.449,2.1,2.9,0.724,0.7,4.2,4.9,3.2,1.3,0.3,1.8,3,17.3
2 seasons,NA,"NOH,NOK",NBA,,131,81,2848,5.5,14.1,0.394,1.7,5.3,0.316,3.9,8.8,0.442,2.5,3.3,0.74,0.7,2.6,3.3,2.5,1.2,0.2,2.1,2.8,15.2
