Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,29,GSW,NBA,PF,10,10,32.9,4.3,8.1,0.531,0,0,NA,4.3,8.1,0.531,0.531,1.7,2.4,0.708,6.1,7.6,13.7,1.7,1.2,0.6,1.4,3.9,10.3
1988-89,31,GSW,NBA,PF,8,8,18.5,0.5,2,0.25,0,0,NA,0.5,2,0.25,0.25,0,0,NA,2.1,2.9,5,2,0.8,1.4,0.8,3,1
1989-90,32,HOU,NBA,PF,4,0,18.3,1.5,2,0.75,0,0,NA,1.5,2,0.75,0.75,0,0,NA,1.8,1.5,3.3,1.3,1,0,1.3,2.8,3
1990-91,33,HOU,NBA,PF,3,0,19,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0.3,0,2,2.3,4.3,1.3,0.3,0.3,0.7,3.7,0.7
1992-93,35,SAS,NBA,PF,6,0,8.3,0.3,0.5,0.667,0,0,NA,0.3,0.5,0.667,0.667,0.5,0.7,0.75,1.3,1.3,2.7,0.2,0.7,0.3,0.2,2.7,1.2
Career,NA,,NBA,,31,18,21.2,1.8,3.6,0.5,0,0,0,1.8,3.6,0.505,0.5,0.6,0.9,0.69,3.2,3.9,7.1,1.4,0.9,0.6,0.9,3.3,4.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,GSW,NBA,,18,18,26.5,2.6,5.4,0.485,0,0,NA,2.6,5.4,0.485,0.485,0.9,1.3,0.708,4.3,5.5,9.8,1.8,1,0.9,1.1,3.5,6.2
2 seasons,NA,HOU,NBA,,7,0,18.6,1,1.7,0.583,0,0.1,0,1,1.6,0.636,0.583,0,0.1,0,1.9,1.9,3.7,1.3,0.7,0.1,1,3.1,2
1 season,NA,SAS,NBA,,6,0,8.3,0.3,0.5,0.667,0,0,NA,0.3,0.5,0.667,0.667,0.5,0.7,0.75,1.3,1.3,2.7,0.2,0.7,0.3,0.2,2.7,1.2
