Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Larry Smith,,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA
Brandon Bass,91.2,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2,0.1,0,NA,NA
Mark Olberding,90.7,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5,NA,NA
Thurl Bailey,89.6,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9,NA,NA
Nick Collison,89.4,5.2,5,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8,0.4,0.1
Purvis Short,89.2,6.2,6,5.7,5.4,5.2,5,4.4,3.7,3.3,2.6,2.2,1.4,NA,NA
Bruce Bowen,89.1,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0,0,NA
Jared Dudley,89.1,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,1.8,0.8,NA,NA
Ersan İlyasova,89.0,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA,NA,NA
Junior Bridgeman,88.4,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA,NA
Rick Fox,88.3,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8,0.8,NA
