,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,22,GSW,NBA,,10,21,,,,,12,14,,,9,6,,,,5,26,
1975-76,23,GSW,NBA,,20,,,,,,13,16,,,,,,,,,51,
1976-77,24,GSW,NBA,,20,30,,,,,15,20,6,8,10,9,4,,,5,51,
1977-78,25,GSW,NBA,,16,,,,,,12,14,,,,,,,,,33,
1978-79,26,GSW,NBA,,16,25,,,,,12,15,4,7,10,10,6,2,8,6,37,33.3
1979-80,27,GSW,NBA,,14,,2,,,,8,13,,,,,,,,,29,
1980-81,28,SDC,NBA,,13,,2,,,,9,11,,,,,,,,,35,
1981-82,29,TOT,NBA,,11,,1,,,,11,13,,,,,,,,,30,
1981-82,29,SDC,NBA,,11,,1,,,,11,13,,,,,,,,,30,
1981-82,29,SEA,NBA,,7,,0,,,,5,5,,,6,6,,,,,17,
1982-83,30,SEA,NBA,,7,16,1,,7,,5,6,4,6,6,10,,,7,5,16,
Career,,,,,20,,,,,,15,20,,,,,,,,,51,
6 Seasons,,GSW,NBA,,20,,,,,,15,20,,,,,,,,,51,
2 Seasons,,SDC,NBA,,13,,2,,,,11,13,,,,,,,,,35,
2 Seasons,,SEA,NBA,,7,,1,,,,5,6,,,6,10,,,,,17,
