Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,MNM,ABA,SF,77,2175,13,0.432,0.008,0.373,NA,NA,11.7,5.1,9.7,15.7,NA,-0.6,5.2,4.6,0.101
1968-69,25,KEN,ABA,SF,62,1421,12,0.45,0.023,0.394,NA,NA,11.9,6.2,12,15.2,NA,-0.3,1.8,1.4,0.048
1969-70,26,KEN,ABA,SF,81,2405,12.8,0.467,0.006,0.344,NA,NA,13.1,6,12.9,14.4,NA,0,3.3,3.3,0.066
1970-71,27,TOT,ABA,SF,35,302,10.6,0.468,0.054,0.419,NA,NA,11.6,7.9,14.7,15.3,NA,0,0.3,0.2,0.037
1970-71,27,KEN,ABA,SF,25,259,10.6,0.498,0.027,0.479,NA,NA,11.4,7.3,16.9,14.6,NA,0.1,0.2,0.3,0.055
1970-71,27,UTS,ABA,SF,10,43,11,0.345,0.15,0.2,NA,NA,12.9,11.7,4.4,19.4,NA,-0.1,0.1,-0.1,-0.067
Career,NA,,ABA,,255,6303,12.6,0.45,0.012,0.369,NA,NA,12.3,5.8,11.6,15.1,NA,-1,10.6,9.6,0.073
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,KEN,ABA,,168,4085,12.4,0.462,0.013,0.37,NA,NA,12.6,6.2,12.8,14.7,NA,-0.2,5.3,5.1,0.059
1 season,NA,MNM,ABA,,77,2175,13,0.432,0.008,0.373,NA,NA,11.7,5.1,9.7,15.7,NA,-0.6,5.2,4.6,0.101
1 season,NA,UTS,ABA,,10,43,11,0.345,0.15,0.2,NA,NA,12.9,11.7,4.4,19.4,NA,-0.1,0.1,-0.1,-0.067
