Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1988-89,22,IND,NBA,C,82,71,2041,9.2,17.7,0.517,0,0,0,9.2,17.7,0.518,4.4,6,0.722,4.4,7.5,11.9,1.7,0.9,3.6,3.1,7.4,22.7,NA,109,109
1989-90,23,IND,NBA,C,82,82,2404,10.6,19.9,0.533,0,0,0,10.6,19.9,0.533,5,6.1,0.811,2.8,7.8,10.5,2.9,0.9,3.5,2.9,6.8,26.2,NA,113,109
1990-91,24,IND,NBA,C,76,38,1690,9.8,20.2,0.485,0,0,NA,9.8,20.2,0.485,4.1,5.4,0.762,3.3,6.9,10.2,2.4,0.7,3.2,2.5,7,23.7,NA,108,111
1991-92,25,IND,NBA,C,74,55,1772,11.9,23.4,0.51,0,0.1,0,11.9,23.3,0.511,4.2,5.3,0.788,3.4,8,11.4,3.2,0.8,2.7,3.6,6.3,28,NA,106,109
1992-93,26,IND,NBA,C,81,81,2072,11.9,24.6,0.486,0,0,NA,11.9,24.6,0.486,4,5.5,0.732,3,7.4,10.4,2.9,0.7,1.8,3.5,6.9,27.9,NA,103,110
1993-94,27,IND,NBA,C,78,75,2113,12,22.5,0.534,0,0,0,12,22.5,0.535,5.8,7.3,0.793,3.3,8.5,11.8,3.8,1.2,2,3.7,6.8,29.8,NA,113,103
1994-95,28,IND,NBA,C,78,78,2381,12.5,23.7,0.526,0,0,0,12.5,23.7,0.527,6.4,8.4,0.753,4.3,9.2,13.5,2.5,0.9,1.8,4.2,6.2,31.3,NA,110,105
1995-96,29,IND,NBA,C,63,63,1901,13.2,25.3,0.521,0,0.1,0.2,13.1,25.1,0.523,6.5,8.3,0.788,3.4,8.9,12.2,3.1,0.6,1.3,4.5,6.4,32.9,NA,108,107
1996-97,30,IND,NBA,C,52,52,1518,12.6,26,0.486,0.1,0.3,0.25,12.6,25.8,0.488,6.1,7.7,0.797,3.7,9.1,12.8,2.4,0.8,2.1,4.5,6.2,31.5,NA,103,104
1997-98,31,IND,NBA,C,73,69,2085,13.5,27.2,0.495,0,0.1,0,13.5,27.1,0.497,4.9,6.3,0.783,3.3,9.9,13.2,2.6,1,2.3,3.5,6.4,31.9,NA,104,99
1998-99,32,IND,NBA,C,49,49,1271,13.6,27.7,0.49,0,0.1,0,13.6,27.6,0.491,4.7,5.8,0.818,3.2,8.8,12,2.3,0.8,2.3,3.3,7,31.8,NA,104,103
1999-00,33,IND,NBA,C,79,79,1852,12,24.8,0.484,0,0,0,12,24.8,0.485,4.3,5.9,0.739,2.6,8.5,11.2,2.4,0.6,2.8,3,6.9,28.3,NA,101,103
Career,NA,,NBA,,867,792,23100,11.8,23.3,0.507,0,0.1,0.115,11.8,23.2,0.508,5,6.5,0.773,3.4,8.3,11.7,2.7,0.8,2.5,3.5,6.7,28.6,NA,107,106
