Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Odie Spears,,5.6,5.2,4.7,3.8,3.3,3.1,2,NA,NA,NA,NA,NA
Bill Keller,89.8,6.1,5.4,4.4,4.1,4,3.6,2.7,NA,NA,NA,NA,NA
Ricky Davis,88.8,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Larry Steele,88.5,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA,NA,NA
Brandon Jennings,88.1,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5,0.1,NA,NA,NA
Walt Hazzard,87.8,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2,NA,NA
Bobby Phills,86.7,7.1,5,4,3.5,3.2,3,1.5,-0.1,-0.1,NA,NA,NA
Patty Mills,86.3,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0,NA,NA
Bonzi Wells,86.0,6,5.9,4,3.4,3.1,3.1,3,0.9,0.1,-0.1,NA,NA
Chucky Atkins,85.6,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA
Patrick Beverley,85.6,5.3,4.8,4.4,4.2,3.5,2.2,0.4,NA,NA,NA,NA,NA
