Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,26,SAS,NBA,C,60,6,738,101,191,0.529,0,1,0,101,190,0.532,0.529,76,140,0.543,72,129,201,26,29,17,32,91,278
2011-12,27,SAS,NBA,C,59,2,1121,212,343,0.618,0,0,NA,212,343,0.618,0.618,125,181,0.691,93,213,306,65,21,47,87,134,549
2012-13,28,SAS,NBA,PF,81,58,1997,315,563,0.56,0,2,0,315,561,0.561,0.56,208,285,0.73,144,371,515,130,63,64,100,161,838
2013-14,29,SAS,NBA,C,59,50,1271,181,346,0.523,0,3,0,181,343,0.528,0.523,121,173,0.699,123,240,363,90,29,31,75,117,483
2014-15,30,SAS,NBA,C,52,35,1030,169,303,0.558,0,0,NA,169,303,0.558,0.558,90,120,0.75,91,161,252,78,35,37,60,103,428
2015-16,31,ATL,NBA,C,36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201
2016-17,32,PHI,NBA,C,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39
Career,NA,,NBA,,355,153,6812,1073,1932,0.555,2,14,0.143,1071,1918,0.558,0.556,668,958,0.697,576,1203,1779,423,198,209,384,685,2816
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,SAS,NBA,,311,151,6157,978,1746,0.56,0,6,0,978,1740,0.562,0.56,620,899,0.69,523,1114,1637,389,177,196,354,606,2576
1 season,NA,ATL,NBA,,36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201
1 season,NA,PHI,NBA,,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39
