Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Žan Tabak,,1.1,0.9,0.2,0.1,0.1,0
Steve Hayes,80.1,1.2,0.9,0.3,0.3,0.2,NA
Rich Johnson,78.8,1.2,0.9,0.1,NA,NA,NA
Roger Brown,74.3,0.9,0.7,0.4,0.2,0.1,NA
Hank Beenders,74.0,1.1,0.9,-0.1,NA,NA,NA
Keith Closs,72.9,1.1,0.6,0.2,NA,NA,NA
Eric Fernsten,67.9,1.2,1,0.5,0.5,0.2,0
Gene Tormohlen,66.2,1.4,0.8,0.1,0,0,0
Jawann Oldham,66.1,1.3,1,0.5,0.3,0,0
Robert Swift,64.4,1.1,0.7,0,-0.2,NA,NA
Robert Sacre,63.9,1.4,0.8,0.3,-0.1,NA,NA
