Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,24,CIN,NBA,PG,48,457,7.3,0.323,NA,0.293,NA,NA,NA,NA,NA,NA,NA,-1.4,0.5,-0.9,-0.096
1964-65,25,CIN,NBA,PG,55,470,7.8,0.358,NA,0.28,NA,NA,NA,11.2,NA,NA,NA,-0.8,0.3,-0.6,-0.057
1965-66,26,CIN,NBA,PG,50,478,10.3,0.409,NA,0.184,NA,NA,NA,16.8,NA,NA,NA,-0.4,0.4,0,-0.004
1967-68,28,BOS,NBA,SG,65,782,8.6,0.439,NA,0.309,NA,NA,NA,11.2,NA,NA,NA,-0.3,1.2,0.9,0.055
1968-69,29,INA,ABA,PG,18,346,7.7,0.375,0.017,0.265,NA,NA,8.4,18.7,16.6,16.1,NA,-0.5,0.4,-0.1,-0.013
1969-70,30,INA,ABA,PG,70,1016,5.3,0.388,0.184,0.325,NA,NA,9.4,22.3,32.2,13.4,NA,-0.9,1.3,0.4,0.02
1970-71,31,INA,ABA,PG,8,92,1.7,0.373,0.176,0.059,NA,NA,10.8,8.8,31.4,10.4,NA,-0.1,0.1,0,0.011
Career,NA,,TOT,,314,3641,7.4,0.388,0.037,0.275,NA,NA,9.2,16.3,27.6,13.9,NA,-4.5,4.2,-0.3,-0.004
,NA,,NBA,,218,2187,8.5,0.389,NA,0.268,NA,NA,NA,12.7,NA,NA,NA,-3,2.3,-0.6,-0.014
,NA,,ABA,,96,1454,5.6,0.383,0.127,0.292,NA,NA,9.2,20.6,27.6,13.9,NA,-1.5,1.9,0.4,0.012
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CIN,NBA,,153,1405,8.5,0.365,NA,0.248,NA,NA,NA,14,NA,NA,NA,-2.6,1.1,-1.5,-0.052
3 seasons,NA,INA,ABA,,96,1454,5.6,0.383,0.127,0.292,NA,NA,9.2,20.6,27.6,13.9,NA,-1.5,1.9,0.4,0.012
1 season,NA,BOS,NBA,,65,782,8.6,0.439,NA,0.309,NA,NA,NA,11.2,NA,NA,NA,-0.3,1.2,0.9,0.055
