Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,22,TOT,NBA,PF,54,2,9.9,1.0,2.1,.487,0.0,0.0,,1.0,2.1,.487,.487,0.8,1.0,.759,0.9,1.1,2.0,0.3,0.4,0.2,0.9,1.8,2.8
1997-98,22,BOS,NBA,PF,33,2,11.2,1.2,2.4,.513,0.0,0.0,,1.2,2.4,.513,.513,0.8,1.0,.788,1.0,1.2,2.1,0.4,0.6,0.3,1.0,2.0,3.3
1997-98,22,TOR,NBA,PF,21,0,8.0,0.7,1.6,.424,0.0,0.0,,0.7,1.6,.424,.424,0.7,1.0,.714,0.8,1.0,1.7,0.2,0.1,0.1,0.6,1.5,2.0
1998-99,23,TOR,NBA,C,39,11,15.2,1.8,3.2,.577,0.0,0.0,.000,1.8,3.1,.582,.577,0.7,1.2,.563,1.7,1.8,3.4,0.4,0.4,0.2,0.5,2.1,4.3
1999-00,24,TOR,NBA,C,55,6,8.7,0.9,1.9,.458,0.0,0.0,.000,0.9,1.9,.462,.458,0.3,0.7,.390,0.7,0.7,1.4,0.2,0.2,0.3,0.3,1.9,2.1
2000-01,25,"Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)","Did Not Play (other pro league—Domincan Republic, China)"
2001-02,26,Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China)
2002-03,27,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
2003-04,28,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
2004-05,29,MIN,NBA,C,44,8,11.8,1.0,2.0,.488,0.0,0.0,,1.0,2.0,.488,.488,0.6,1.0,.587,0.9,1.3,2.2,0.4,0.3,0.3,0.4,1.9,2.5
2005-06,30,TOT,NBA,C,16,0,7.9,0.4,0.9,.400,0.0,0.0,,0.4,0.9,.400,.400,0.2,0.3,.750,0.6,0.6,1.3,0.1,0.2,0.1,0.5,1.1,0.9
2005-06,30,MEM,NBA,C,3,0,8.3,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,1.3
2005-06,30,ATL,NBA,C,11,0,6.0,0.3,0.6,.429,0.0,0.0,,0.3,0.6,.429,.429,0.3,0.4,.750,0.3,0.6,0.9,0.1,0.2,0.0,0.4,0.9,0.8
2005-06,30,NJN,NBA,C,2,0,18.0,0.5,3.0,.167,0.0,0.0,,0.5,3.0,.167,.167,0.0,0.0,,3.5,1.5,5.0,0.0,0.5,0.5,1.0,2.0,1.0
Career,NA,,NBA,,208,27,10.8,1.1,2.1,.502,0.0,0.0,.000,1.1,2.1,.505,.502,0.5,0.9,.591,1.0,1.1,2.1,0.3,0.3,0.2,0.5,1.8,2.7
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,TOR,NBA,,115,17,10.8,1.2,2.3,.510,0.0,0.0,.000,1.2,2.3,.513,.510,0.5,1.0,.527,1.0,1.1,2.1,0.2,0.3,0.2,0.4,1.9,2.8
1 season,NA,MIN,NBA,,44,8,11.8,1.0,2.0,.488,0.0,0.0,,1.0,2.0,.488,.488,0.6,1.0,.587,0.9,1.3,2.2,0.4,0.3,0.3,0.4,1.9,2.5
1 season,NA,BOS,NBA,,33,2,11.2,1.2,2.4,.513,0.0,0.0,,1.2,2.4,.513,.513,0.8,1.0,.788,1.0,1.2,2.1,0.4,0.6,0.3,1.0,2.0,3.3
1 season,NA,ATL,NBA,,11,0,6.0,0.3,0.6,.429,0.0,0.0,,0.3,0.6,.429,.429,0.3,0.4,.750,0.3,0.6,0.9,0.1,0.2,0.0,0.4,0.9,0.8
1 season,NA,MEM,NBA,,3,0,8.3,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.3,0.7,1.0,1.3
1 season,NA,NJN,NBA,,2,0,18.0,0.5,3.0,.167,0.0,0.0,,0.5,3.0,.167,.167,0.0,0.0,,3.5,1.5,5.0,0.0,0.5,0.5,1.0,2.0,1.0
