Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2013-14,22,PHI,NBA,SF,77,1742,9.5,0.57,0.449,0.196,4.4,11.2,7.7,6.1,1.5,0.5,12.9,11.3,NA,1.4,0.6,2,0.055,NA,-2.1,-1,-3.2,-0.5
2014-15,23,PHI,NBA,SG,71,1776,10.9,0.538,0.529,0.164,3.1,9.3,6,8.4,1.6,1.2,10.2,15.9,NA,1.3,1.3,2.6,0.07,NA,-1.6,-0.3,-1.8,0.1
2015-16,24,PHI,NBA,SG,77,2154,9.2,0.525,0.576,0.141,2.6,11.4,6.9,7.4,0.8,0.8,9.5,16.2,NA,0.7,0.5,1.2,0.026,NA,-1.6,-1.7,-3.4,-0.7
2016-17,25,TOT,NBA,SG,40,752,7.9,0.482,0.475,0.145,2.8,13.5,8.1,6.8,1.3,0.6,4.9,13,NA,0.1,0.6,0.7,0.047,NA,-2.9,0.3,-2.6,-0.1
2016-17,25,PHI,NBA,SG,31,561,9,0.51,0.447,0.126,2.9,13.6,8.2,7,1.2,0.8,5.1,13.7,NA,0.3,0.4,0.7,0.06,NA,-2.3,-0.1,-2.4,-0.1
2016-17,25,NOP,NBA,SG,9,191,4.7,0.378,0.585,0.22,2.2,13.3,7.7,6.3,1.5,0,4.3,10.9,NA,-0.2,0.2,0,0.007,NA,-4.7,1.6,-3.1,-0.1
Career,NA,,NBA,,265,6424,9.6,0.533,0.524,0.16,3.2,11,7,7.2,1.3,0.8,10,14.4,NA,3.5,3,6.5,0.048,NA,-1.9,-0.9,-2.8,-1.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,256,6233,9.8,0.537,0.523,0.158,3.3,10.9,7,7.3,1.3,0.9,10.1,14.5,NA,3.6,2.8,6.5,0.05,NA,-1.8,-1,-2.8,-1.3
1 season,NA,NOP,NBA,,9,191,4.7,0.378,0.585,0.22,2.2,13.3,7.7,6.3,1.5,0,4.3,10.9,NA,-0.2,0.2,0,0.007,NA,-4.7,1.6,-3.1,-0.1
