Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1983-84,22,KCK,NBA,C,3,93,16.5,0.502,0,0.275,11.5,26.5,17.9,6.7,1.6,2.5,10,21.5,NA,0.1,0.1,0.2,0.098,NA,-0.2,0.4,0.2,0.1
1985-86,24,SAC,NBA,C,3,99,12.2,0.389,0,0.375,13.7,25.7,19,3.1,1,3.6,9.7,16.7,NA,-0.1,0.1,0,0.012,NA,-1.6,-2.1,-3.8,0
1989-90,28,IND,NBA,C,3,54,6.7,0.537,0,0.267,14.3,20,17.2,6.2,0,1.1,29.5,20.8,NA,-0.1,0,-0.1,-0.055,NA,-5.8,-1,-6.8,-0.1
1990-91,29,IND,NBA,C,5,126,11.9,0.535,0,0.179,5.7,25.1,15.1,8.8,1.5,3.4,19.2,17.2,NA,0,0.1,0.1,0.022,NA,-1.3,1,-0.3,0.1
1991-92,30,IND,NBA,C,3,63,11.1,0.673,0,0.182,3.8,20,12,10,0.8,3.5,20.2,10.8,NA,0.1,0,0.1,0.065,NA,-2.1,2.1,0,0
1992-93,31,IND,NBA,C,4,73,8,0.425,0,0.4,12,11.2,11.6,6,2.2,1.8,18.5,14,NA,0,0.1,0,0.019,NA,-1.8,-0.7,-2.4,0
1993-94,32,IND,NBA,C,7,39,10.2,0.406,0,0.273,9.7,20.9,15.5,21.7,4.2,2,24.5,19.2,NA,-0.1,0.1,0,0.055,NA,-5,5,0,0
Career,NA,,NBA,,28,547,11.5,0.487,0,0.276,9.9,22.2,15.7,7.9,1.5,2.7,16.8,17.2,NA,-0.1,0.5,0.4,0.032,NA,-2,0.3,-1.7,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,IND,NBA,,22,355,10,0.516,0,0.242,8.4,20.1,14.2,9.5,1.6,2.6,21.8,16.2,NA,-0.2,0.3,0.2,0.021,NA,-2.6,1,-1.6,0
2 seasons,NA,"KCK,SAC",NBA,,6,192,14.3,0.451,0,0.319,12.6,26.1,18.5,4.9,1.3,3,9.9,19,NA,0,0.2,0.2,0.054,NA,-0.9,-0.9,-1.8,0
