Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Skip Thoren,,7,4.4,1.6,NA,NA,NA,NA,NA
Bob Houbregs,90.0,6.9,4.5,2.8,0.2,NA,NA,NA,NA
Jakob Pöltl,83.2,5.6,5.1,1.6,NA,NA,NA,NA,NA
Manny Leaks,81.2,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Fabricio Oberto,79.4,6.1,4.1,1.7,1.1,0.6,0,NA,NA
Jusuf Nurkić,78.4,7.8,4.7,2,1.6,0.4,NA,NA,NA
Bill McGill,74.8,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA
Joel Embiid,74.4,8.7,6.2,1.9,NA,NA,NA,NA,NA
Primož Brezec,68.9,4.9,4.6,0.7,0.3,0.2,0.1,0.1,0
Lee Knorek,64.9,5.1,2.5,1.7,0,NA,NA,NA,NA
Chick Halbert,63.8,7.4,3.6,3.3,2.9,NA,NA,NA,NA
