Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1985-86,23,SAC,NBA,PF,3,0,35,4.4,18.9,0.231,0,0,NA,4.4,18.9,0.231,8.7,18.9,0.462,11.7,5.8,17.5,0,0,1.5,1.5,5.8,17.5,NA,89,120
1988-89,26,HOU,NBA,PF,4,4,152,7.7,11.9,0.649,0,0,NA,7.7,11.9,0.649,5.1,6.8,0.762,1.9,4.5,6.4,3.9,1.6,0.3,4.8,5.5,20.6,NA,111,111
1989-90,27,HOU,NBA,PF,4,4,164,8.5,14.2,0.6,0,0,NA,8.5,14.2,0.6,8.2,12,0.684,4.4,6,10.4,2.2,1.6,0,2.8,3.8,25.3,NA,125,116
1990-91,28,HOU,NBA,PF,3,3,116,10,17.3,0.579,0,0,NA,10,17.3,0.579,1.4,2.7,0.5,3.2,8.2,11.4,3.6,0.9,0,2.7,3.6,21.4,NA,111,111
1992-93,30,HOU,NBA,PF,12,12,419,9.2,14.5,0.635,0,0,NA,9.2,14.5,0.635,3.5,5.4,0.651,4.5,8.4,13,3.9,0.8,0.1,2.1,4.4,21.9,NA,128,107
1993-94,31,HOU,NBA,PF,23,23,854,6.9,12.1,0.572,0.1,0.1,0.5,6.9,12,0.573,2.4,4.2,0.567,4.3,10,14.3,3.4,0.8,0.6,2.3,5.4,16.3,NA,115,104
1994-95,32,POR,NBA,PF,3,0,66,9.6,16.7,0.571,0,0,NA,9.6,16.7,0.571,5.6,8,0.7,4,6.4,10.4,1.6,0,0,2.4,9.6,24.7,NA,119,130
1995-96,33,DET,NBA,PF,3,3,101,7.5,13.8,0.542,0,0,NA,7.5,13.8,0.542,5.2,6.9,0.75,8,12.1,20.1,4,0,0,4,5.2,20.1,NA,118,120
1996-97,34,DET,NBA,C,5,5,152,8,15.7,0.512,0,0,NA,8,15.7,0.512,2.7,3.4,0.778,4.6,7.7,12.3,1.5,0.8,0,3.4,8,18.8,NA,103,108
1999-00,37,MIA,NBA,PF,10,0,136,5.4,11.3,0.481,0,0.4,0,5.4,10.8,0.5,2.9,5.8,0.5,2.5,9.6,12.1,1.3,0,0.8,4.6,12.1,13.8,NA,81,97
2000-01,38,CHH,NBA,PF,8,0,57,1.9,8.6,0.222,0,0,NA,1.9,8.6,0.222,0,0,NA,5.7,10.5,16.2,0,0,0,1.9,7.6,3.8,NA,69,104
Career,NA,,NBA,,78,54,2252,7.6,13.4,0.569,0,0.1,0.333,7.6,13.3,0.57,3.5,5.5,0.631,4.3,8.7,13,3,0.8,0.4,2.8,5.7,18.7,NA,114,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,HOU,NBA,,46,46,1705,7.9,13.2,0.599,0,0.1,0.5,7.9,13.2,0.6,3.4,5.4,0.634,4,8.6,12.6,3.5,1,0.4,2.6,4.9,19.3,NA,119,107
1 season,NA,MIA,NBA,,10,0,136,5.4,11.3,0.481,0,0.4,0,5.4,10.8,0.5,2.9,5.8,0.5,2.5,9.6,12.1,1.3,0,0.8,4.6,12.1,13.8,NA,81,97
1 season,NA,CHH,NBA,,8,0,57,1.9,8.6,0.222,0,0,NA,1.9,8.6,0.222,0,0,NA,5.7,10.5,16.2,0,0,0,1.9,7.6,3.8,NA,69,104
2 seasons,NA,DET,NBA,,8,8,253,7.8,14.9,0.523,0,0,NA,7.8,14.9,0.523,3.7,4.8,0.762,6,9.4,15.4,2.5,0.5,0,3.7,6.9,19.3,NA,109,113
1 season,NA,POR,NBA,,3,0,66,9.6,16.7,0.571,0,0,NA,9.6,16.7,0.571,5.6,8,0.7,4,6.4,10.4,1.6,0,0,2.4,9.6,24.7,NA,119,130
1 season,NA,SAC,NBA,,3,0,35,4.4,18.9,0.231,0,0,NA,4.4,18.9,0.231,8.7,18.9,0.462,11.7,5.8,17.5,0,0,1.5,1.5,5.8,17.5,NA,89,120
