,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1985-86,23,SAC,NBA,,2,8,0,0,2,8,3,6,5,3,8,0,0,1,1,3,6,3.5
1988-89,26,HOU,NBA,,7,13,0,0,7,13,9,9,2,5,7,4,4,1,6,6,23,17.6
1989-90,27,HOU,NBA,,8,14,0,0,8,14,11,14,4,5,9,3,2,0,3,5,27,22.4
1990-91,28,HOU,NBA,,9,17,0,0,9,17,3,6,3,8,10,3,1,0,3,4,21,16.1
1992-93,30,HOU,NBA,,12,14,0,0,12,14,6,8,7,12,17,6,1,1,3,5,28,28.8
1993-94,31,HOU,NBA,,8,17,1,1,8,16,6,9,6,12,16,6,3,2,4,6,20,19.1
1994-95,32,TOT,NBA,,6,10,0,0,6,10,4,4,2,4,6,1,0,0,2,6,16,11.3
1994-95,32,POR,NBA,,6,10,0,0,6,10,4,4,2,4,6,1,0,0,2,6,16,11.3
1995-96,33,DET,NBA,,5,9,0,0,5,9,5,6,6,10,16,3,0,0,3,5,15,14.7
1996-97,34,DET,NBA,33:50,7,13,0,0,7,13,2,3,4,6,10,2,1,0,3,5,16,10.1
1999-00,37,MIA,NBA,26:27,5,7,0,1,5,7,2,4,2,8,10,1,0,1,3,5,10,6.5
2000-01,38,CHH,NBA,15:06,2,3,0,0,2,3,0,0,3,5,6,0,0,0,1,3,4,4.2
Career,,,,33:50,12,17,1,1,12,17,11,14,7,12,17,6,4,2,6,6,28,28.8
5 Seasons,,HOU,NBA,,12,17,1,1,12,17,11,14,7,12,17,6,4,2,6,6,28,28.8
1 Season,,MIA,NBA,26:27,5,7,0,1,5,7,2,4,2,8,10,1,0,1,3,5,10,6.5
1 Season,,CHH,NBA,15:06,2,3,0,0,2,3,0,0,3,5,6,0,0,0,1,3,4,4.2
2 Seasons,,DET,NBA,33:50,7,13,0,0,7,13,5,6,6,10,16,3,1,0,3,5,16,14.7
1 Season,,POR,NBA,,6,10,0,0,6,10,4,4,2,4,6,1,0,0,2,6,16,11.3
1 Season,,SAC,NBA,,2,8,0,0,2,8,3,6,5,3,8,0,0,1,1,3,6,3.5
