Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1988-89,23,CHH,NBA,SF,14,0,117,7,15.1,0.459,0,1.2,0,7,13.9,0.5,2.5,4.9,0.5,2.9,5.7,8.6,2.9,0.8,1.6,0.8,8.2,16.4,NA,106,113
1989-90,24,GSW,NBA,PF,70,21,1347,7.3,14.9,0.493,0.2,0.6,0.278,7.2,14.3,0.502,5.9,8.1,0.726,4.1,8.1,12.2,2,0.8,0.8,2.7,6.4,20.7,NA,112,113
1990-91,25,GSW,NBA,PF,62,32,1371,6.2,14.6,0.423,0.2,0.7,0.333,5.9,13.9,0.427,4.3,5.8,0.738,2.9,6.4,9.3,2.6,1.2,1.3,2.7,6.6,16.9,NA,102,111
1991-92,26,GSW,NBA,PF,35,0,310,4.9,12.9,0.384,0.3,1.2,0.25,4.6,11.7,0.397,3.3,6,0.55,2.1,6.1,8.2,3.1,1.5,0.9,3,10.9,13.5,NA,90,110
1992-93,27,ORL,NBA,PF,72,61,1838,6.1,12.3,0.498,0.2,0.8,0.321,5.9,11.6,0.509,3.3,4.6,0.726,3.6,7.6,11.2,2.5,0.9,0.6,3.4,5.2,15.8,NA,104,108
1993-94,28,LAC,NBA,SF,49,6,640,5.6,13.3,0.418,0.5,1.2,0.375,5.1,12.1,0.422,2.5,3.4,0.733,2.7,5.4,8.1,2.3,1,1.1,2.9,4.6,14.1,NA,93,111
1994-95,29,CHH,NBA,PF,10,0,57,5.5,16.6,0.333,0,3.7,0,5.5,12.9,0.429,1.8,1.8,1,6.5,9.2,15.7,1.8,0,0,2.8,8.3,12.9,NA,87,108
Career,NA,,NBA,,312,120,5680,6.3,13.8,0.46,0.2,0.8,0.296,6.1,12.9,0.47,4.1,5.7,0.716,3.4,7.1,10.5,2.4,1,0.9,2.9,6.2,17,NA,104,110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,GSW,NBA,,167,53,3028,6.6,14.6,0.452,0.2,0.7,0.298,6.4,13.9,0.46,4.9,6.9,0.715,3.4,7.1,10.5,2.3,1,1,2.7,7,18.3,NA,105,112
1 season,NA,ORL,NBA,,72,61,1838,6.1,12.3,0.498,0.2,0.8,0.321,5.9,11.6,0.509,3.3,4.6,0.726,3.6,7.6,11.2,2.5,0.9,0.6,3.4,5.2,15.8,NA,104,108
1 season,NA,LAC,NBA,,49,6,640,5.6,13.3,0.418,0.5,1.2,0.375,5.1,12.1,0.422,2.5,3.4,0.733,2.7,5.4,8.1,2.3,1,1.1,2.9,4.6,14.1,NA,93,111
2 seasons,NA,CHH,NBA,,24,0,174,6.5,15.6,0.418,0,2,0,6.5,13.6,0.479,2.3,4,0.571,4,6.8,10.8,2.6,0.6,1.1,1.4,8.2,15.3,NA,99,111
