Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Andrew Toney,,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Ralph Simpson,90.1,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2
Eric Murdock,88.8,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA
Josh Childress,88.1,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Ronnie Brewer,88.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA
Johnny Moore,88.0,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA
Anthony Parker,87.1,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA
Mahmoud Abdul-Rauf,84.0,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA
George Thompson,84.0,7.7,6.7,6.5,5.6,2.7,1.8,NA,NA,NA,NA
CJ McCollum,83.8,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Phil Ford,83.6,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA
