Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,28,FTW,BAA,NA,53,NA,NA,0.323,0.209,NA,NA,NA,NA,NA,-2.3,2.1,-0.2,NA
1949-50,29,TOT,NBA,NA,29,NA,NA,0.331,0.261,NA,NA,NA,NA,NA,-0.6,0,-0.6,NA
1949-50,29,BLB,NBA,NA,8,NA,NA,0.324,0.154,NA,NA,NA,NA,NA,-0.2,0.1,-0.1,NA
1949-50,29,WAT,NBA,NA,21,NA,NA,0.333,0.298,NA,NA,NA,NA,NA,-0.4,-0.1,-0.5,NA
Career,NA,,TOT,NA,82,NA,NA,0.324,0.219,NA,NA,NA,NA,NA,-2.9,2.1,-0.8,NA
,NA,,BAA,NA,53,NA,NA,0.323,0.209,NA,NA,NA,NA,NA,-2.3,2.1,-0.2,NA
,NA,,NBA,NA,29,NA,NA,0.331,0.261,NA,NA,NA,NA,NA,-0.6,0,-0.6,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,FTW,BAA,NA,53,NA,NA,0.323,0.209,NA,NA,NA,NA,NA,-2.3,2.1,-0.2,NA
1 season,NA,WAT,NBA,NA,21,NA,NA,0.333,0.298,NA,NA,NA,NA,NA,-0.4,-0.1,-0.5,NA
1 season,NA,BLB,NBA,NA,8,NA,NA,0.324,0.154,NA,NA,NA,NA,NA,-0.2,0.1,-0.1,NA
