Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,DET,NBA,SF,82,82,3077,636,1281,0.496,5,22,0.227,631,1259,0.501,0.498,495,621,0.797,219,224,443,270,89,16,280,241,1772
1982-83,23,DET,NBA,SF,58,58,2252,565,1156,0.489,14,37,0.378,551,1119,0.492,0.495,392,464,0.845,126,138,264,237,67,20,187,157,1536
1983-84,24,DET,NBA,SF,76,75,2493,595,1296,0.459,2,17,0.118,593,1279,0.464,0.46,426,523,0.815,119,187,306,228,65,17,190,190,1618
1984-85,25,DET,NBA,SF,55,43,1675,396,831,0.477,2,5,0.4,394,826,0.477,0.478,255,288,0.885,66,152,218,135,49,14,118,118,1049
1985-86,26,DET,NBA,SF,81,81,2626,615,1236,0.498,12,25,0.48,603,1211,0.498,0.502,380,444,0.856,116,232,348,265,93,10,183,167,1622
1986-87,27,UTA,NBA,SF,79,76,1865,291,621,0.469,19,52,0.365,272,569,0.478,0.484,197,226,0.872,54,188,242,243,85,11,167,147,798
1987-88,28,UTA,NBA,SF,49,21,976,139,303,0.459,31,74,0.419,108,229,0.472,0.51,59,68,0.868,30,87,117,105,34,4,68,68,368
1988-89,29,CHH,NBA,SF,71,65,2302,568,1215,0.467,30,84,0.357,538,1131,0.476,0.48,440,508,0.866,79,188,267,224,88,16,236,196,1606
1989-90,30,CHH,NBA,SF,79,73,2404,442,1029,0.43,38,104,0.365,404,925,0.437,0.448,310,351,0.883,82,240,322,224,75,16,176,220,1232
1990-91,31,CHH,NBA,SF,77,1,1289,187,412,0.454,15,45,0.333,172,367,0.469,0.472,152,167,0.91,46,130,176,159,33,13,92,130,541
Career,NA,,NBA,,707,575,20959,4434,9380,0.473,168,465,0.361,4266,8915,0.479,0.482,3106,3660,0.849,937,1766,2703,2090,678,137,1697,1634,12142
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,352,339,12123,2807,5800,0.484,35,106,0.33,2772,5694,0.487,0.487,1948,2340,0.832,646,933,1579,1135,363,77,958,873,7597
3 seasons,NA,CHH,NBA,,227,139,5995,1197,2656,0.451,83,233,0.356,1114,2423,0.46,0.466,902,1026,0.879,207,558,765,607,196,45,504,546,3379
2 seasons,NA,UTA,NBA,,128,97,2841,430,924,0.465,50,126,0.397,380,798,0.476,0.492,256,294,0.871,84,275,359,348,119,15,235,215,1166
