,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2002-03,23,MEM,NBA,C,15,86,,,,,100%,-11.2,-7.9,1,2,8,1,5,0,2,2,5
2003-04,24,TOT,NBA,C,7,15,,,,,100%,-56.5,-53.7,0,0,1,1,0,0,0,0,0
2003-04,24,PHO,NBA,C,4,10,,,,,100%,-14.3,-10.2,0,0,0,1,0,0,0,0,0
2003-04,24,NYK,NBA,C,3,5,,,,,100%,-122.2,-120.8,0,0,1,0,0,0,0,0,0
Career,,,NBA,,22,101,,,,,100%,-18.0,-14.7,1,2,9,2,5,0,2,2,5
,,,,,,,,,,,,,,,,,,,,,,
1 season,,MEM,NBA,,15,86,,,,,100%,-11.2,-7.9,1,2,8,1,5,0,2,2,5
1 season,,PHO,NBA,,4,10,,,,,100%,-14.3,-10.2,0,0,0,1,0,0,0,0,0
1 season,,NYK,NBA,,3,5,,,,,100%,-122.2,-120.8,0,0,1,0,0,0,0,0,0
