Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2005-06,23,LAL,NBA,C,3,0,25,6.3,10.5,0.6,0,0,NA,6.3,10.5,0.6,10.5,12.6,0.833,8.4,6.3,14.7,0,0,2.1,4.2,10.5,23,NA,129,115
2006-07,24,LAL,NBA,C,4,0,48,5.3,14.8,0.357,0,0,NA,5.3,14.8,0.357,7.4,10.6,0.7,6.4,6.4,12.7,1.1,2.1,1.1,1.1,8.5,18,NA,112,113
2007-08,25,LAL,NBA,C,19,0,187,3.9,10,0.389,0,0,NA,3.9,10,0.389,2.8,4.7,0.588,1.7,5.8,7.5,1.4,0.6,5,2.5,11.4,10.5,NA,84,107
2010-11,28,NYK,NBA,C,4,4,75,5.6,8.4,0.667,0,0,NA,5.6,8.4,0.667,4.9,7,0.7,2.8,4.9,7.7,2.8,0.7,4.2,2.1,2.8,16.1,NA,130,108
2011-12,29,MIA,NBA,C,12,7,121,4.5,8.1,0.556,0,0,NA,4.5,8.1,0.556,1.4,5,0.273,5,9,14,0.5,0.5,3.6,2.7,10.4,10.4,NA,96,100
2012-13,30,LAC,NBA,C,5,0,59,6.5,9.2,0.7,0,0,NA,6.5,9.2,0.7,1.8,3.7,0.5,3.7,3.7,7.4,0,0.9,2.8,1.8,12.9,14.8,NA,123,114
Career,NA,,NBA,,47,11,515,4.8,9.7,0.495,0,0,NA,4.8,9.7,0.495,3.5,5.9,0.586,3.6,6.2,9.8,1.1,0.7,3.8,2.4,9.7,13.1,NA,103,107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,26,0,260,4.4,10.9,0.4,0,0,NA,4.4,10.9,0.4,4.4,6.6,0.667,3.2,6,9.1,1.2,0.8,4,2.4,10.7,13.1,NA,96,109
1 season,NA,MIA,NBA,,12,7,121,4.5,8.1,0.556,0,0,NA,4.5,8.1,0.556,1.4,5,0.273,5,9,14,0.5,0.5,3.6,2.7,10.4,10.4,NA,96,100
1 season,NA,LAC,NBA,,5,0,59,6.5,9.2,0.7,0,0,NA,6.5,9.2,0.7,1.8,3.7,0.5,3.7,3.7,7.4,0,0.9,2.8,1.8,12.9,14.8,NA,123,114
1 season,NA,NYK,NBA,,4,4,75,5.6,8.4,0.667,0,0,NA,5.6,8.4,0.667,4.9,7,0.7,2.8,4.9,7.7,2.8,0.7,4.2,2.1,2.8,16.1,NA,130,108
