Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Myles Turner,,8,6.3,4.7,3.1
Nate Thurmond,91.9,7.2,6.1,4.3,3.5
Rich Kelley,91.7,8.6,6.4,4.8,4.3
Tree Rollins,90.8,9.2,6.4,5,2.6
Jamaal Magloire,89.9,7.6,6.7,5.7,2.6
Steve Stipanovich,89.9,9,5.9,5,3.6
Mike Lewis,88.9,7.9,7.5,4,3.8
Steven Adams,88.4,6.5,6.5,4.1,2.9
Vlade Divac,88.3,8.3,5.6,5,1.8
Don Otten,88.2,8.5,5.8,4.9,1.7
George Ratkovicz,87.9,9.3,6,5.4,2.8
