Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Charlie Tyra,,2.3,1.5,1.1,0.2,-0.2,NA
Joffrey Lauvergne,90.1,2.3,1.5,1.3,0.1,NA,NA
Predrag Drobnjak,84.3,2.4,1.6,1,0.7,NA,NA
Jahlil Okafor,83.6,2.2,1.2,1.2,0.6,NA,NA
Bob Christian,80.9,2.4,1.9,0.9,0.5,0,NA
George Nostrand,78.9,2,2,1.3,0.4,NA,NA
Greg Stiemsma,76.1,2.7,1.7,1.5,0.1,NA,NA
Festus Ezeli,75.0,2.7,1.7,1.5,NA,NA,NA
Jeff Withey,71.4,2.3,1.8,1.8,0.8,0,NA
Luther Rackley,70.4,1.9,1.8,1.3,0.8,0.1,NA
Vladimir Stepania,69.9,2.9,1.7,0.8,0.2,-0.1,-0.3
