Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,CIN,NBA,PG,81,NA,35.7,3.7,9.2,0.403,2,2.8,0.741,NA,NA,5,6.2,NA,NA,NA,4.1,9.5
1970-71,23,CIN,NBA,SG,82,NA,40.5,5.8,13.9,0.42,4.4,5.4,0.816,NA,NA,7.1,10.1,NA,NA,NA,4.2,16
1971-72,24,TOT,NBA,PG,79,NA,30.6,4.2,9.6,0.439,3,3.8,0.79,NA,NA,4.5,6.9,NA,NA,NA,3,11.5
1971-72,24,CIN,NBA,PG,10,NA,27.5,2.8,9,0.311,1.7,2.2,0.773,NA,NA,5.8,5.1,NA,NA,NA,3.2,7.3
1971-72,24,CHI,NBA,PG,69,NA,31,4.4,9.7,0.456,3.2,4,0.791,NA,NA,4.3,7.1,NA,NA,NA,3,12.1
1972-73,25,CHI,NBA,PG,80,NA,36,5.9,13.3,0.445,2.1,2.6,0.787,NA,NA,5.5,7.1,NA,NA,NA,3.4,13.9
1973-74,26,CHI,NBA,PG,80,NA,35.8,5.3,13.1,0.406,3.6,4.6,0.778,1.4,3.3,4.7,6.9,2,0.1,NA,3.5,14.3
1974-75,27,CHI,NBA,PG,70,NA,37,5.8,13.9,0.42,3.4,4.3,0.792,1.2,3.5,4.7,5.8,2,0.2,NA,3.5,15
1975-76,28,CHI,NBA,PG,76,NA,39.8,4.8,13,0.366,3.1,4.2,0.737,1.8,3.6,5.4,6.6,2,0.3,NA,3.9,12.6
1976-77,29,CHI,NBA,PG,82,NA,37.8,3.7,8.9,0.412,2.9,3.7,0.778,1.3,3.2,4.5,7.8,1.6,0.2,NA,3.3,10.2
1977-78,30,CHI,NBA,PG,78,NA,32.4,2.6,6.1,0.419,2.2,2.9,0.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3
1978-79,31,MIL,NBA,PG,38,NA,14.6,0.8,2,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8
Career,NA,,NBA,,746,NA,35.1,4.4,10.7,0.414,2.9,3.7,0.78,1.3,3,4.8,7,1.8,0.2,2.1,3.6,11.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,CHI,NBA,,535,NA,35.7,4.6,11.1,0.416,2.9,3.8,0.773,1.4,3.2,4.7,6.9,1.9,0.2,2.6,3.5,12.2
3 seasons,NA,CIN,NBA,,173,NA,37.5,4.7,11.4,0.409,3.1,4,0.79,NA,NA,6.1,8,NA,NA,NA,4.1,12.5
1 season,NA,MIL,NBA,,38,NA,14.6,0.8,2,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8
