,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,22,STL,NBA,,11,,,,,,9,,,,,,,,28
1963-64,23,STL,NBA,,10,,,,,,8,10,,,,,,,20
1964-65,24,STL,NBA,,13,24,,,,,9,11,,,7,,,,29
1965-66,25,TOT,NBA,,9,,,,,,7,9,,,,,,,23
1965-66,25,STL,NBA,,9,,,,,,6,8,,,,,,,23
1965-66,25,DET,NBA,,9,,,,,,7,9,,,,,,,20
1966-67,26,DET,NBA,,7,,,,,,5,7,,,,,,,17
1967-68,27,PTP,ABA,,15,,7,,,,14,18,,,,,,,40
1968-69,28,MNP,ABA,,13,,7,,,,15,19,,,,,,,35
1969-70,29,PTP,ABA,,9,,4,,,,7,8,,,,,,,24
Career,,,TOT,,15,,,,,,15,,,,,,,,40
,,,NBA,,13,,,,,,9,,,,,,,,29
,,,ABA,,15,,7,,,,15,19,,,,,,,40
,,,,,,,,,,,,,,,,,,,
4 Seasons,,STL,NBA,,13,,,,,,9,,,,,,,,29
3 Seasons,,"MNP,PTP",ABA,,15,,7,,,,15,19,,,,,,,40
2 Seasons,,DET,NBA,,9,,,,,,7,9,,,,,,,20
