,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1981-82,22,DAL,NBA,,17,,1,,,,11,15,,,16,,,,,,41,
1982-83,23,DAL,NBA,,16,28,0,,16,,11,13,,,15,8,,,7,6,32,
1983-84,24,DAL,NBA,,12,21,0,1,12,21,10,12,4,9,10,6,3,2,5,6,33,28.8
1984-85,25,DAL,NBA,,15,25,0,1,15,25,17,20,7,15,17,6,3,3,8,5,39,34.0
1985-86,26,DAL,NBA,,14,25,0,1,14,25,11,13,6,9,13,8,4,2,5,6,31,24.8
1986-87,27,WSB,NBA,,13,22,0,1,13,22,7,11,5,7,11,6,3,3,4,5,33,27.7
1987-88,28,DEN,NBA,,15,27,1,1,15,27,16,17,6,9,12,8,3,2,6,6,42,30.2
1988-89,29,TOT,NBA,,10,16,1,1,10,16,6,7,4,10,11,5,2,1,6,5,21,20.1
1988-89,29,DEN,NBA,,5,15,1,1,4,14,2,6,1,5,5,3,1,1,2,4,12,7.6
1988-89,29,SAS,NBA,,10,16,0,1,10,16,6,7,4,10,11,5,2,1,6,5,21,20.1
1989-90,30,TOT,NBA,,8,14,1,1,8,14,7,8,2,3,5,2,2,1,4,4,19,15.6
1989-90,30,PHI,NBA,,8,14,1,1,8,14,7,8,2,3,5,2,2,1,2,3,19,15.6
1989-90,30,LAL,NBA,,8,13,0,1,8,13,2,4,2,3,5,2,2,1,4,4,16,9.9
Career,,,,,17,,1,,,,17,20,,,17,,,,,,42,
5 Seasons,,DAL,NBA,,17,,1,,,,17,20,,,17,,,,,,41,
2 Seasons,,DEN,NBA,,15,27,1,1,15,27,16,17,6,9,12,8,3,2,6,6,42,30.2
1 Season,,WSB,NBA,,13,22,0,1,13,22,7,11,5,7,11,6,3,3,4,5,33,27.7
1 Season,,LAL,NBA,,8,13,0,1,8,13,2,4,2,3,5,2,2,1,4,4,16,9.9
1 Season,,SAS,NBA,,10,16,0,1,10,16,6,7,4,10,11,5,2,1,6,5,21,20.1
1 Season,,PHI,NBA,,8,14,1,1,8,14,7,8,2,3,5,2,2,1,2,3,19,15.6
