Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,24,ATL,NBA,SG,5,0,5.4,0.2,1.4,.143,0.2,1.2,.167,0.0,0.2,.000,.214,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.8,0.8
1995-96,25,Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA),Did Not Play (other pro league—CBA)
1996-97,26,Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel)
1997-98,27,Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL),Did Not Play (other pro league—USBL)
1998-99,28,Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic),Did Not Play (other pro league—Domincan Republic)
1999-00,29,SEA,NBA,SG,8,0,5.0,0.6,2.1,.294,0.3,0.9,.286,0.4,1.3,.300,.353,0.1,0.3,.500,0.0,0.1,0.1,0.0,0.4,0.0,0.5,0.3,1.6
Career,NA,,NBA,,13,0,5.2,0.5,1.8,.250,0.2,1.0,.231,0.2,0.8,.273,.313,0.2,0.2,.667,0.0,0.1,0.1,0.1,0.2,0.0,0.5,0.5,1.3
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,SEA,NBA,,8,0,5.0,0.6,2.1,.294,0.3,0.9,.286,0.4,1.3,.300,.353,0.1,0.3,.500,0.0,0.1,0.1,0.0,0.4,0.0,0.5,0.3,1.6
1 season,NA,ATL,NBA,,5,0,5.4,0.2,1.4,.143,0.2,1.2,.167,0.0,0.2,.000,.214,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.8,0.8
