,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,23,CHI,NBA,C,16,143,.440,4.4,1.000,.480,.360,.160,.000,.000,.440,.583,.222,.500,,,.455,.120,3,,,,0,0
2001-02,24,PHO,NBA,C,59,900,.554,2.5,1.000,.731,.150,.098,.021,.000,.554,.638,.310,.316,.500,,.673,.171,31,,,,0,0
2002-03,25,PHO,NBA,C,65,947,.564,3.4,1.000,.693,.153,.104,.049,.000,.564,.673,.400,.294,.125,,.630,.196,32,,,,0,0
2003-04,26,PHO,NBA,C,66,1606,.507,4.4,1.000,.653,.127,.120,.100,.000,.507,.592,.421,.333,.267,,.717,.127,32,,,,0,0
2004-05,27,PHO,NBA,C,38,360,.458,6.5,1.000,.610,.034,.068,.288,.000,.458,.639,.000,.250,.176,,.630,.119,7,,,,0,0
2005-06,28,CHA,NBA,C,51,818,.437,12.5,.989,.226,.073,.218,.471,.011,.438,.644,.263,.386,.390,.333,.779,.042,9,1.000,.333,1.000,1,0
2006-07,29,CHA,NBA,C,73,1043,.475,8.8,1.000,.408,.114,.133,.345,.000,.475,.644,.414,.353,.341,,.835,.067,16,,,,0,0
2007-08,30,MIL,NBA,C,44,386,.463,6.5,1.000,.513,.163,.150,.175,.000,.463,.585,.308,.250,.429,,.757,.100,8,,,,0,0
2008-09,31,TOR,NBA,C,38,240,.267,10.9,1.000,.267,.133,.200,.400,.000,.267,.417,.000,.444,.167,,.500,.022,1,,,,0,0
Career,,,NBA,,450,6443,.487,6.8,.998,.517,.123,.139,.219,.002,.488,.625,.341,.349,.334,.333,.720,.109,139,1.000,.333,1.000,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,228,3813,.529,3.8,1.000,.680,.131,.106,.083,.000,.529,.628,.372,.316,.237,,.677,.154,102,,,,0,0
2 seasons,,CHA,NBA,,124,1861,.455,10.7,.994,.316,.093,.176,.409,.006,.456,.644,.354,.374,.370,.333,.808,.054,25,1.000,.333,1.000,1,0
1 season,,MIL,NBA,,44,386,.463,6.5,1.000,.513,.163,.150,.175,.000,.463,.585,.308,.250,.429,,.757,.100,8,,,,0,0
1 season,,TOR,NBA,,38,240,.267,10.9,1.000,.267,.133,.200,.400,.000,.267,.417,.000,.444,.167,,.500,.022,1,,,,0,0
1 season,,CHI,NBA,,16,143,.440,4.4,1.000,.480,.360,.160,.000,.000,.440,.583,.222,.500,,,.455,.120,3,,,,0,0
