Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,20,LAL,NBA,SG,35,3,403,4.3,15.3,0.282,2.2,8.3,0.27,2.1,7.1,0.296,2.4,2.5,0.947,1.7,6.4,8.1,6.7,1.6,0.3,2,5.4,13.2,NA,98,112
2005-06,21,LAL,NBA,PG,82,4,1449,3.9,11.4,0.346,2.1,6.3,0.343,1.8,5.1,0.35,1.7,1.9,0.885,1.2,4.6,5.8,5.1,1.7,0.1,1.8,5.5,11.7,NA,105,108
2006-07,22,LAL,NBA,SG,73,4,935,5.8,14.7,0.392,3.3,8.8,0.373,2.5,5.9,0.421,2.4,2.7,0.878,1.5,4.3,5.9,3.5,2.3,0.1,1.6,5.7,17.2,NA,112,110
2007-08,23,LAL,NBA,SG,72,0,1279,8.6,18.9,0.454,4.6,10.6,0.437,4,8.3,0.476,3,3.6,0.835,0.7,5.3,6,2.8,1.4,0.2,2,4.2,24.8,NA,116,108
2008-09,24,LAL,NBA,SG,80,0,1293,6.1,15.8,0.387,3.2,8.8,0.363,2.9,7,0.416,2.8,3,0.921,0.7,4.6,5.3,4.4,3,0.3,1.4,6.1,18.1,NA,115,104
2009-10,25,LAL,NBA,SG,67,1,575,5.9,14.8,0.402,2.2,7.3,0.309,3.7,7.5,0.494,2.5,3,0.848,2.2,4.9,7.1,3.7,1.8,0.4,1.5,6,16.6,NA,112,105
2010-11,26,TOT,NBA,SG,67,17,1648,7.7,19.3,0.402,3.1,8.5,0.37,4.6,10.8,0.426,2.6,3.1,0.844,1,5.1,6,4.3,1.7,0.2,2.1,4.4,21.2,NA,104,111
2010-11,26,LAL,NBA,SG,11,0,54,7.8,22.5,0.348,2.9,6.9,0.429,4.9,15.7,0.313,1,2,0.5,1,2.9,3.9,4.9,1,0,4.9,6.9,19.6,NA,81,110
2010-11,26,NJN,NBA,SG,56,17,1594,7.7,19.2,0.404,3.1,8.5,0.369,4.6,10.6,0.432,2.7,3.1,0.851,1,5.1,6.1,4.3,1.8,0.2,2,4.3,21.3,NA,105,111
2013-14,29,LAC,NBA,SG,2,0,10,10,25,0.4,5,10,0.5,5,15,0.333,0,0,NA,0,15,15,0,5,0,15,5,25,NA,55,93
2015-16,31,NYK,NBA,SG,61,25,908,6,15.7,0.383,2.9,8.1,0.364,3.1,7.6,0.403,1.8,2.2,0.821,1.5,7,8.4,4.8,1.9,0.3,2.5,4.7,16.8,NA,101,107
2016-17,32,NYK,NBA,SG,42,4,408,5.1,16.7,0.309,2.8,9.1,0.311,2.3,7.6,0.306,2.1,2.9,0.708,1.5,5.8,7.2,6.4,1.6,0.2,2,4.7,15.2,NA,98,113
Career,NA,,NBA,,581,58,8908,6.2,16,0.39,3.1,8.4,0.367,3.1,7.6,0.415,2.4,2.8,0.858,1.2,5.2,6.3,4.3,2,0.2,1.9,5.1,18,NA,108,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,LAL,NBA,,420,12,5988,6,15.2,0.393,3.1,8.4,0.372,2.8,6.8,0.419,2.4,2.8,0.876,1.2,4.8,6,4.2,2,0.2,1.8,5.4,17.5,NA,111,107
2 seasons,NA,NYK,NBA,,103,29,1316,5.7,16,0.358,2.9,8.4,0.346,2.8,7.6,0.372,1.9,2.4,0.778,1.5,6.6,8.1,5.3,1.8,0.3,2.3,4.7,16.3,NA,100,109
1 season,NA,NJN,NBA,,56,17,1594,7.7,19.2,0.404,3.1,8.5,0.369,4.6,10.6,0.432,2.7,3.1,0.851,1,5.1,6.1,4.3,1.8,0.2,2,4.3,21.3,NA,105,111
1 season,NA,LAC,NBA,,2,0,10,10,25,0.4,5,10,0.5,5,15,0.333,0,0,NA,0,15,15,0,5,0,15,5,25,NA,55,93
