,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2004-05,20,LAL,NBA,38:54,4,9,2,7,2,6,3,3,3,4,7,7,2,2,2,6,10,7.9
2005-06,21,LAL,NBA,33:24,4,10,3,8,3,5,4,4,3,8,8,6,4,1,3,5,12,14.7
2006-07,22,LAL,NBA,29:53,6,9,4,8,3,5,6,6,2,7,8,3,3,1,2,6,18,16.8
2007-08,23,LAL,NBA,32:04,8,17,6,14,6,8,8,9,2,7,7,3,3,1,3,5,22,20.1
2008-09,24,LAL,NBA,31:13,6,14,4,8,4,7,6,6,2,5,5,6,4,1,2,5,17,17.3
2009-10,25,LAL,NBA,26:00,5,12,3,7,4,7,3,4,4,4,6,4,3,1,1,5,13,12.7
2010-11,26,TOT,NBA,47:27,9,16,6,9,6,10,7,7,3,9,10,8,4,2,4,5,25,21.0
2010-11,26,LAL,NBA,11:07,3,6,1,2,3,6,1,2,1,2,2,2,1,0,2,3,6,3.7
2010-11,26,NJN,NBA,47:27,9,16,6,9,6,10,7,7,3,9,10,8,4,2,4,5,25,21.0
2013-14,29,LAC,NBA,9:06,2,5,1,2,1,3,0,0,0,3,3,0,1,0,3,1,5,1.2
2015-16,31,NYK,NBA,35:10,7,15,6,10,4,6,4,4,3,8,8,7,4,1,3,5,23,19.4
2016-17,32,NYK,NBA,36:25,4,12,2,7,3,7,3,4,2,5,5,7,2,1,3,4,12,10.2
Career,,,,47:27,9,17,6,14,6,10,8,9,4,9,10,8,4,2,4,6,25,21.0
7 Seasons,,LAL,NBA,38:54,8,17,6,14,6,8,8,9,4,8,8,7,4,2,3,6,22,20.1
2 Seasons,,NYK,NBA,36:25,7,15,6,10,4,7,4,4,3,8,8,7,4,1,3,5,23,19.4
1 Season,,NJN,NBA,47:27,9,16,6,9,6,10,7,7,3,9,10,8,4,2,4,5,25,21.0
1 Season,,LAC,NBA,9:06,2,5,1,2,1,3,0,0,0,3,3,0,1,0,3,1,5,1.2
