Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2005-06,20,LAL,NBA,SG,16,73,-1.6,0.241,0.447,0.211,8.1,4.8,6.4,8.2,2.2,0,2.4,26.6,NA,-0.3,0.1,-0.3,-0.174,NA,-9.9,-4.1,-14,-0.2
2006-07,21,LAC,NBA,SF,1,1,-40.7,0,1,0,0,0,0,0,0,0,0,46.2,NA,0,0,0,-1.068,NA,-32.3,-20.1,-52.4,0
2007-08,22,TOT,NBA,SG,29,154,1,0.347,0.426,0.197,0.7,13.1,7,6.6,0.6,1.5,16.4,22.7,NA,-0.6,0.1,-0.5,-0.163,NA,-7.4,-2.9,-10.3,-0.3
2007-08,22,DEN,NBA,SG,21,90,-1.6,0.325,0.395,0.211,1.2,10.6,6,7.7,1.1,0.8,20.9,24.8,NA,-0.5,0.1,-0.4,-0.231,NA,-9.9,-4.1,-14,-0.3
2007-08,22,POR,NBA,SG,8,64,4.7,0.384,0.478,0.174,0,16.5,8.3,5,0,2.4,7.5,19.8,NA,-0.1,0,-0.1,-0.067,NA,-3.8,-1.2,-5,0
2008-09,23,HOU,NBA,SG,63,1225,14.7,0.541,0.32,0.229,1.9,8.6,5.4,10.3,1.7,0.5,9.5,23.6,NA,1.1,1.6,2.6,0.103,NA,0.1,0.1,0.2,0.7
2010-11,25,BOS,NBA,SG,58,553,10.6,0.524,0.421,0.239,1.7,8.8,5.5,9.8,1.7,0.7,10.2,17,NA,0.2,0.9,1.1,0.092,NA,-2.3,0.9,-1.4,0.1
2011-12,26,ORL,NBA,SG,33,469,11.4,0.537,0.248,0.344,1.5,9.7,5.5,11,1.1,0.5,16.2,21.6,NA,0.1,0.3,0.4,0.042,NA,-1.8,-0.7,-2.6,-0.1
Career,NA,,NBA,,200,2475,11.8,0.512,0.338,0.247,1.9,9,5.6,10.1,1.6,0.6,11.1,21.8,NA,0.4,2.9,3.3,0.064,NA,-1.6,-0.2,-1.8,0.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HOU,NBA,,63,1225,14.7,0.541,0.32,0.229,1.9,8.6,5.4,10.3,1.7,0.5,9.5,23.6,NA,1.1,1.6,2.6,0.103,NA,0.1,0.1,0.2,0.7
1 season,NA,BOS,NBA,,58,553,10.6,0.524,0.421,0.239,1.7,8.8,5.5,9.8,1.7,0.7,10.2,17,NA,0.2,0.9,1.1,0.092,NA,-2.3,0.9,-1.4,0.1
1 season,NA,ORL,NBA,,33,469,11.4,0.537,0.248,0.344,1.5,9.7,5.5,11,1.1,0.5,16.2,21.6,NA,0.1,0.3,0.4,0.042,NA,-1.8,-0.7,-2.6,-0.1
1 season,NA,DEN,NBA,,21,90,-1.6,0.325,0.395,0.211,1.2,10.6,6,7.7,1.1,0.8,20.9,24.8,NA,-0.5,0.1,-0.4,-0.231,NA,-9.9,-4.1,-14,-0.3
1 season,NA,LAL,NBA,,16,73,-1.6,0.241,0.447,0.211,8.1,4.8,6.4,8.2,2.2,0,2.4,26.6,NA,-0.3,0.1,-0.3,-0.174,NA,-9.9,-4.1,-14,-0.2
1 season,NA,POR,NBA,,8,64,4.7,0.384,0.478,0.174,0,16.5,8.3,5,0,2.4,7.5,19.8,NA,-0.1,0,-0.1,-0.067,NA,-3.8,-1.2,-5,0
1 season,NA,LAC,NBA,,1,1,-40.7,0,1,0,0,0,0,0,0,0,0,46.2,NA,0,0,0,-1.068,NA,-32.3,-20.1,-52.4,0
